"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Wind Speed (m/sec)","Wind Gust (m/sec)","Max Daily Gust (m/sec)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","PM2.5 Outdoor (µg/m^3)","PM2.5 Outdoor 24 Hour Average (µg/m^3)","Absolute Pressure (hPa)","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (m/sec)","PM2.5 Outdoor","PM2.5 Outdoor 24 Hour Average","CO2 battery"
2025-09-01T23:55:00-04:00,2025-09-01 23:55:00,8.7,8.3,1.4,1.7,11.2,73,0,0,0,0,0,411.8,681.7,79,0,0,9,8.9,681.7,122,0.8,38,37,1
2025-09-01T23:50:00-04:00,2025-09-01 23:50:00,8.9,8.9,0.6,1.3,11.2,69,0,0,0,0,0,411.8,681.6,79,0,0,9,8.9,681.6,122,1.1,38,37,1
2025-09-01T23:45:00-04:00,2025-09-01 23:45:00,8.9,8.9,1.1,2.6,11.2,77,0,0,0,0,0,411.8,681.5,79,0,0,9,8.9,681.5,115,1.3,38,37,1
2025-09-01T23:40:00-04:00,2025-09-01 23:40:00,8.9,7.2,2.9,4.1,11.2,129,0,0,0,0,0,411.8,681.6,79,0,0,9,8.9,681.6,115,1,38,37,1
2025-09-01T23:35:00-04:00,2025-09-01 23:35:00,8.8,8.8,0.8,2.4,11.2,58,0,0,0,0,0,411.8,681.8,80,0,0,11,8.9,681.8,81,1,46,37,1
2025-09-01T23:30:00-04:00,2025-09-01 23:30:00,9,9,0.5,1.9,11.2,108,0,0,0,0,0,411.8,681.7,80,0,0,11,8.9,681.7,254,1.3,46,37,1
2025-09-01T23:25:00-04:00,2025-09-01 23:25:00,9.2,8.1,2.3,3.3,11.2,249,0,0,0,0,0,411.8,681.4,79,0,0,11,8.9,681.4,254,1.3,46,37,1
2025-09-01T23:20:00-04:00,2025-09-01 23:20:00,9.1,8.8,1.4,2.5,11.2,210,0,0,0,0,0,411.8,681.5,79,0,0,11,8.9,681.5,271,0.8,46,37,1
2025-09-01T23:15:00-04:00,2025-09-01 23:15:00,9.2,8.9,1.4,2,11.2,263,0,0,0,0,0,411.8,681.4,78,0,0,9,8.9,681.4,98,0.7,38,37,1
2025-09-01T23:10:00-04:00,2025-09-01 23:10:00,9.2,9.2,0.6,1.5,11.2,79,0,0,0,0,0,411.8,681.4,78,0,0,9,8.9,681.4,111,0.9,38,37,1
2025-09-01T23:05:00-04:00,2025-09-01 23:05:00,9.2,9.2,0.9,1.9,11.2,150,0,0,0,0,0,411.8,681.6,78,0,0,11,8.9,681.6,81,0.8,46,37,1
2025-09-01T23:00:00-04:00,2025-09-01 23:00:00,9.2,9.2,0.6,1.4,11.2,184,0,0,0,0,0,411.8,681.3,78,0,0,11,8.9,681.3,89,0.9,46,37,1
2025-09-01T22:55:00-04:00,2025-09-01 22:55:00,9.1,9.1,1.3,1.4,11.2,83,0,0,0,0,0,411.8,681.3,78,0,0,7,8.9,681.3,106,0.8,29,37,1
2025-09-01T22:50:00-04:00,2025-09-01 22:50:00,9.2,9.2,0.7,1.1,11.2,84,0,0,0,0,0,411.8,681.2,77,0,0,7,8.9,681.2,89,0.7,29,37,1
2025-09-01T22:45:00-04:00,2025-09-01 22:45:00,9.4,9.4,0.6,1.6,11.2,47,0,0,0,0,0,411.8,681.1,77,0,0,8,8.9,681.1,55,1.1,33,37,1
2025-09-01T22:40:00-04:00,2025-09-01 22:40:00,9.3,9.3,1.1,2.5,11.2,57,0,0,0,0,0,411.8,681.1,77,0,0,8,8.9,681.1,47,1.4,33,37,1
2025-09-01T22:35:00-04:00,2025-09-01 22:35:00,9.4,9.4,1.1,2.5,11.2,76,0,0,0,0,0,411.8,681,76,0,0,9,8.9,681,21,1.3,38,37,1
2025-09-01T22:30:00-04:00,2025-09-01 22:30:00,9.5,9.5,1.3,2.2,11.2,63,0,0,0,0,0,411.8,680.9,75,0,0,9,8.9,680.9,38,1.1,38,37,1
2025-09-01T22:25:00-04:00,2025-09-01 22:25:00,9.6,9.6,1,2.3,11.2,4,0,0,0,0,0,411.8,680.7,75,0,0,8,8.9,680.7,4,1.3,33,37,1
2025-09-01T22:20:00-04:00,2025-09-01 22:20:00,9.7,9.1,1.8,1.9,11.2,15,0,0,0,0,0,411.8,680.8,74,0,0,8,8.9,680.8,15,1.2,33,37,1
2025-09-01T22:15:00-04:00,2025-09-01 22:15:00,9.7,9.2,1.6,2.3,11.2,336,0,0,0,0,0,411.8,680.6,74,0,0,10,8.9,680.6,28,1.2,42,37,1
2025-09-01T22:10:00-04:00,2025-09-01 22:10:00,9.7,9.7,1.2,1.9,11.2,28,0,0,0,0,0,411.8,680.5,74,0,0,10,8.9,680.5,323,1,42,37,1
2025-09-01T22:05:00-04:00,2025-09-01 22:05:00,9.7,9.5,1.4,1.8,11.2,7,0,0,0,0,0,411.8,680.7,74,0,0,10,8.9,680.7,7,0.8,42,37,1
2025-09-01T22:00:00-04:00,2025-09-01 22:00:00,9.8,9.8,1.2,1.9,11.2,8,0,0,0,0,0,411.8,680.5,73,0,0,10,8.9,680.5,8,0.9,42,37,1
2025-09-01T21:55:00-04:00,2025-09-01 21:55:00,9.9,9.9,1,1.4,11.2,346,0,0,0,0,0,411.8,680.5,73,0,0,7,8.9,680.5,329,1,29,37,1
2025-09-01T21:50:00-04:00,2025-09-01 21:50:00,10,10,1,1.8,11.2,320,0,0,0,0,0,411.8,680.5,73,0,0,7,8.9,680.5,336,0.7,29,37,1
2025-09-01T21:45:00-04:00,2025-09-01 21:45:00,10.1,10.1,0,1.4,11.2,47,0,0,0,0,0,411.8,680.4,71,0,0,11,9,680.4,54,0.8,46,38,1
2025-09-01T21:40:00-04:00,2025-09-01 21:40:00,10.3,10.3,0.8,1.7,11.2,307,0,0,0,0,0,411.8,680.2,71,0,0,11,9,680.2,349,1.1,46,38,1
2025-09-01T21:35:00-04:00,2025-09-01 21:35:00,10.5,10.5,1,1.8,11.2,332,0,0,0,0,0,411.8,680.3,70,0,0,6,8.9,680.3,349,1.1,25,37,1
2025-09-01T21:30:00-04:00,2025-09-01 21:30:00,10.4,10.4,1.5,1.9,11.2,327,0,0,0,0,0,411.8,680.2,70,0,0,6,8.9,680.2,12,0.7,25,37,1
2025-09-01T21:25:00-04:00,2025-09-01 21:25:00,10.4,10.4,0.5,1.9,11.2,345,0,0,0,0,0,411.8,680,70,0,0,13,9,680,318,0.7,53,38,1
2025-09-01T21:20:00-04:00,2025-09-01 21:20:00,10.4,10.4,0.7,1.5,11.2,218,0,0,0,0,0,411.8,680.2,70,0,0,13,9,680.2,296,0.8,53,38,1
2025-09-01T21:15:00-04:00,2025-09-01 21:15:00,10.6,10.6,0.6,1.3,11.2,345,0,0,0,0,0,411.8,680.3,69,0,0,7,8.9,680.3,345,0.8,29,37,1
2025-09-01T21:10:00-04:00,2025-09-01 21:10:00,11,11,0.5,1.6,11.2,328,0,0,0,0,0,411.8,680.1,67,0,0,7,8.9,680.1,164,1,29,37,1
2025-09-01T21:05:00-04:00,2025-09-01 21:05:00,11,11,1.5,2.3,11.2,204,0,0,0,0,0,411.8,680.2,67,0,0,9,8.9,680.2,204,1.1,38,37,1
2025-09-01T21:00:00-04:00,2025-09-01 21:00:00,11.1,11.1,0.9,2.5,11.2,249,0,0,0,0,0,411.8,680,67,0,0,9,8.9,680,223,1.4,38,37,1
2025-09-01T20:55:00-04:00,2025-09-01 20:55:00,11.1,11.1,1.9,3.1,11.2,275,0,0,0,0,0,411.8,680.1,67,0,0,9,8.9,680.1,267,1.4,38,37,1
2025-09-01T20:50:00-04:00,2025-09-01 20:50:00,11,11,1.2,2.6,11.2,235,0,0,0,0,0,411.8,680.2,66,0,0,9,8.9,680.2,261,1,38,37,1
2025-09-01T20:45:00-04:00,2025-09-01 20:45:00,11.1,11.1,0.8,2,11.2,318,0,0,0,0,0,411.8,679.9,65,0,0,6,8.9,679.9,346,0.7,25,37,1
2025-09-01T20:40:00-04:00,2025-09-01 20:40:00,11.3,11.3,1,1.3,11.2,337,0,0,0,0,0,411.8,679.9,64,0,0,6,8.9,679.9,348,0.6,25,37,1
2025-09-01T20:35:00-04:00,2025-09-01 20:35:00,11.4,11.4,0.6,0.7,11.2,314,0,0,0,0,0,411.8,679.7,64,0,0,8,8.9,679.7,333,0.5,33,37,1
2025-09-01T20:30:00-04:00,2025-09-01 20:30:00,11.6,11.6,0.5,1.7,11.2,303,0,0,0,0,0,411.8,679.7,63,0,0,8,8.9,679.7,358,0.8,33,37,1
2025-09-01T20:25:00-04:00,2025-09-01 20:25:00,11.6,11.6,0.7,1.3,11.2,2,0,0,0,0,0,411.8,679.7,63,0,0,7,8.9,679.7,290,1.2,29,37,1
2025-09-01T20:20:00-04:00,2025-09-01 20:20:00,11.8,11.8,1.1,2.3,11.2,335,0,0,0,0,0,411.8,679.7,62,0,0,7,8.9,679.7,288,1.5,29,37,1
2025-09-01T20:15:00-04:00,2025-09-01 20:15:00,12.2,12.2,1.2,2.3,11.2,341,0,0,0,0,0,411.8,679.5,59,0,0,11,8.9,679.5,237,1.6,46,37,1
2025-09-01T20:10:00-04:00,2025-09-01 20:10:00,12.3,12.3,1,2.4,11.2,227,0,0,0,0,0,411.8,679.5,58,0,0,11,8.9,679.5,237,1.1,46,37,1
2025-09-01T20:05:00-04:00,2025-09-01 20:05:00,12.4,12.4,0,2.1,11.2,225,0,0,0,0,0,411.8,679.5,57,0,0,5,8.8,679.5,245,0.9,21,37,1
2025-09-01T20:00:00-04:00,2025-09-01 20:00:00,12.3,12.3,1.1,1.5,11.2,293,0,0,0,0,0,411.8,679.4,56,0,0,5,8.8,679.4,286,0,21,37,1
2025-09-01T19:55:00-04:00,2025-09-01 19:55:00,12.4,12.4,0,0.8,11.2,249,0,0,0,0,0,411.8,679.3,56,0,0,5,8.9,679.3,89,0,21,37,1
2025-09-01T19:50:00-04:00,2025-09-01 19:50:00,12.6,12.6,0,0.6,11.2,89,0,0,0,0,0,411.8,679.3,55,0,0,5,8.9,679.3,89,0.6,21,37,1
2025-09-01T19:45:00-04:00,2025-09-01 19:45:00,12.8,12.8,0,1.7,11.2,55,0,0,0,0,0,411.8,679.2,55,0,0,5,8.9,679.2,50,0.7,21,37,1
2025-09-01T19:40:00-04:00,2025-09-01 19:40:00,12.9,12.9,0.6,1.9,11.2,77,0,0,0,0,0,411.8,679.1,54,0,0,5,8.9,679.1,112,1,21,37,1
2025-09-01T19:35:00-04:00,2025-09-01 19:35:00,13.1,13.1,0.9,1.9,11.2,98,0,0,0,0,0,411.8,679,53,0,0,9,8.9,679,98,1,38,37,1
2025-09-01T19:30:00-04:00,2025-09-01 19:30:00,13.2,13.2,1.1,2.3,11.2,103,0,0,0,0,0,411.8,679.2,53,0,0,9,8.9,679.2,329,1.1,38,37,1
2025-09-01T19:25:00-04:00,2025-09-01 19:25:00,13.3,13.3,0.8,2.1,11.2,335,0,0,0,0,0,411.8,679,53,0,0,6,8.9,679,329,1.4,25,37,1
2025-09-01T19:20:00-04:00,2025-09-01 19:20:00,13.5,13.5,0.5,3.1,11.2,238,0,0,0,0,0,411.8,679,52,0,0,6,8.9,679,149,1.4,25,37,1
2025-09-01T19:15:00-04:00,2025-09-01 19:15:00,13.6,13.6,3.2,3.6,11.2,149,0,0,0,0,0,411.8,678.9,52,0,0,6,8.9,678.9,206,1.5,25,37,1
2025-09-01T19:10:00-04:00,2025-09-01 19:10:00,13.9,13.9,4.2,4.2,11.2,202,0,0,0,0,0,411.8,678.7,50,0,0,6,8.9,678.7,215,2,25,37,1
2025-09-01T19:05:00-04:00,2025-09-01 19:05:00,14.1,14.1,1,6.1,11.2,219,0,0,0,0,0,411.8,678.6,48,0,0,5,9,678.6,215,1.1,21,38,1
2025-09-01T19:00:00-04:00,2025-09-01 19:00:00,14.2,14.2,0.8,1.8,11.2,149,0,0,0,0,0,411.8,678.5,45,0,0,5,9,678.5,10,1.8,21,38,1
2025-09-01T18:55:00-04:00,2025-09-01 18:55:00,14.3,14.3,2.1,4.2,11.2,37,0,0,0,0,0,411.8,678.6,45,0,0,6,9,678.6,333,2.6,25,38,1
2025-09-01T18:50:00-04:00,2025-09-01 18:50:00,14.3,14.3,2.2,5.5,11.2,12,0,0,0,0,0,411.8,678.7,45,0,0,6,9,678.7,38,2.4,25,38,1
