Hora,Media,Desviacion_Estandar,Valor_Presion
2025-08-29 13:00:00,165.35,95.23,677.9
2025-08-29 13:05:00,250.63,18.91,677.8
2025-08-29 13:10:00,248.83,14.81,678.0
2025-08-29 13:15:00,242.07,10.88,677.7
2025-08-29 13:20:00,238.07,12.67,677.6
2025-08-29 13:25:00,240.5,17.85,677.8
2025-08-29 13:30:00,234.9,12.57,677.6
2025-08-29 13:35:00,87.67,28.13,677.6
2025-08-29 13:40:00,86.13,9.64,677.4
2025-08-29 13:45:00,92.43,8.64,677.4
2025-08-29 13:50:00,91.1,8.72,677.3
2025-08-29 13:55:00,91.23,10.06,677.3
2025-08-29 14:00:00,86.0,10.95,677.3
2025-08-29 14:05:00,94.67,7.45,676.9
2025-08-29 14:10:00,93.53,10.24,677.0
2025-08-29 14:15:00,90.4,8.18,676.9
2025-08-29 14:20:00,93.97,10.89,676.7
2025-08-29 14:25:00,88.13,9.19,676.8
2025-08-29 14:30:00,88.73,9.39,676.8
2025-08-29 14:35:00,85.47,10.37,676.7
2025-08-29 14:40:00,90.13,11.49,676.5
2025-08-29 14:45:00,86.3,9.33,676.7
2025-08-29 14:50:00,87.53,7.55,676.3
2025-08-29 14:55:00,88.43,11.05,676.5
2025-08-29 15:00:00,89.6,11.97,676.4
2025-08-29 15:05:00,87.23,8.42,676.3
2025-08-29 15:10:00,89.1,9.87,676.2
2025-08-29 15:15:00,84.1,8.63,676.3
2025-08-29 15:20:00,80.13,7.37,676.1
2025-08-29 15:25:00,83.57,10.21,676.2
2025-08-29 15:30:00,81.7,9.47,676.0
2025-08-29 15:35:00,84.33,9.13,676.0
2025-08-29 15:40:00,85.77,8.96,676.0
2025-08-29 15:45:00,86.4,11.39,675.9
2025-08-29 15:50:00,85.13,10.08,675.7
2025-08-29 15:55:00,81.43,8.53,675.9
2025-08-29 16:00:00,134.17,74.46,675.8
2025-08-29 16:05:00,247.07,17.64,675.8
2025-08-29 16:10:00,248.27,15.27,675.8
2025-08-29 16:15:00,245.5,17.53,675.7
2025-08-29 16:20:00,245.73,17.04,675.7
2025-08-29 16:25:00,250.2,21.17,675.5
2025-08-29 16:30:00,251.73,18.22,675.7
2025-08-29 16:35:00,244.9,17.26,675.7
2025-08-29 16:40:00,251.4,16.75,675.8
2025-08-29 16:45:00,255.73,15.95,675.5
2025-08-29 16:50:00,265.97,16.87,675.6
2025-08-29 16:55:00,202.53,81.1,675.6
2025-08-29 17:00:00,106.6,86.76,675.6
2025-08-29 17:05:00,247.4,13.49,675.5
2025-08-29 17:10:00,256.33,15.17,675.6
2025-08-29 17:15:00,261.7,13.99,675.6
2025-08-29 17:20:00,257.73,16.2,675.7
2025-08-29 17:25:00,237.3,14.97,675.9
2025-08-29 17:30:00,243.2,15.36,675.7
2025-08-29 17:35:00,242.5,13.56,675.9
2025-08-29 17:40:00,246.13,17.74,676.1
2025-08-29 17:45:00,253.33,16.07,676.1
2025-08-29 17:50:00,254.5,17.28,676.0
2025-08-29 17:55:00,260.57,13.79,676.1
2025-08-29 18:00:00,263.52,15.62,676.1
2025-08-29 18:05:00,275.33,21.53,676.0
2025-08-29 18:10:00,273.07,14.36,676.2
2025-08-29 18:15:00,271.17,17.84,676.1
2025-08-29 18:20:00,266.73,19.64,676.1
2025-08-29 18:25:00,259.0,16.61,676.1
2025-08-29 18:30:00,242.63,16.72,676.2
2025-08-29 18:35:00,228.27,12.08,676.2
2025-08-29 18:40:00,212.33,15.02,676.2
2025-08-29 18:45:00,233.0,15.08,676.3
2025-08-29 18:50:00,222.63,15.45,676.4
2025-08-29 18:55:00,227.7,14.85,676.4
2025-08-29 19:00:00,233.93,13.17,676.6
2025-08-29 19:05:00,235.53,12.6,676.6
2025-08-29 19:10:00,237.17,17.32,676.7
2025-08-29 19:15:00,235.2,16.56,676.7
2025-08-29 19:20:00,236.4,12.65,676.6
2025-08-29 19:25:00,242.8,14.28,676.9
