Hora,Presion,Temperatura,Media_Cuentas,Desviacion_Cuentas,Mediciones
2025-08-29 00:00:00,681.0,6.5,165.35,95.23,26
2025-08-29 00:05:00,680.9,6.5,250.63,18.91,30
2025-08-29 00:10:00,681.0,6.4,248.83,14.81,30
2025-08-29 00:15:00,681.0,6.4,242.07,10.88,30
2025-08-29 00:20:00,680.8,6.2,238.07,12.67,30
2025-08-29 00:25:00,680.7,6.0,240.50,17.85,30
2025-08-29 00:30:00,681.0,6.1,234.90,12.57,30
2025-08-29 00:35:00,680.9,6.2,87.67,28.13,30
2025-08-29 00:40:00,680.9,6.1,86.13,9.64,30
2025-08-29 00:45:00,680.8,6.0,92.43,8.64,30
2025-08-29 00:50:00,680.9,6.0,91.10,8.72,30
2025-08-29 00:55:00,681.0,6.0,91.23,10.06,30
2025-08-29 01:00:00,681.0,6.0,86.00,10.95,30
2025-08-29 01:05:00,680.9,6.0,94.67,7.45,30
2025-08-29 01:10:00,681.0,5.8,93.53,10.24,30
2025-08-29 01:15:00,680.9,5.9,90.40,8.18,30
2025-08-29 01:20:00,680.9,5.8,93.97,10.89,30
2025-08-29 01:25:00,681.0,5.6,88.13,9.19,30
2025-08-29 01:30:00,681.0,5.6,88.73,9.39,30
2025-08-29 01:35:00,681.2,5.7,85.47,10.37,30
2025-08-29 01:40:00,681.1,5.6,90.13,11.49,30
2025-08-29 01:45:00,680.9,5.7,86.30,9.33,30
2025-08-29 01:50:00,680.9,5.7,87.53,7.55,30
2025-08-29 01:55:00,680.9,5.6,88.43,11.05,30
2025-08-29 02:00:00,680.8,5.6,89.60,11.97,30
2025-08-29 02:05:00,680.7,5.6,87.23,8.42,30
2025-08-29 02:10:00,680.8,5.5,89.10,9.87,30
2025-08-29 02:15:00,680.6,5.6,84.10,8.63,30
2025-08-29 02:20:00,680.5,5.3,80.13,7.37,30
2025-08-29 02:25:00,680.7,5.2,83.57,10.21,30
2025-08-29 02:30:00,680.6,4.9,81.70,9.47,30
2025-08-29 02:35:00,680.5,5.0,84.33,9.13,30
2025-08-29 02:40:00,680.3,5.3,85.77,8.96,30
2025-08-29 02:45:00,680.4,5.4,86.40,11.39,30
2025-08-29 02:50:00,680.6,5.2,85.13,10.08,30
2025-08-29 02:55:00,680.4,5.1,81.43,8.53,30
2025-08-29 03:00:00,680.4,5.3,134.17,74.46,30
2025-08-29 03:05:00,680.3,5.4,247.07,17.64,30
2025-08-29 03:10:00,680.1,5.2,248.27,15.27,30
2025-08-29 03:15:00,680.3,5.1,245.50,17.53,30
2025-08-29 03:20:00,680.2,5.0,245.73,17.04,30
2025-08-29 03:25:00,680.1,4.8,250.20,21.17,30
2025-08-29 03:30:00,680.2,4.7,251.73,18.22,30
2025-08-29 03:35:00,679.9,4.5,244.90,17.26,30
2025-08-29 03:40:00,680.0,4.4,251.40,16.75,30
2025-08-29 03:45:00,680.1,4.6,255.73,15.95,30
2025-08-29 03:50:00,679.9,4.7,265.97,16.87,30
2025-08-29 03:55:00,680.1,4.6,202.53,81.10,30
2025-08-29 04:00:00,680.0,4.2,106.60,86.76,30
2025-08-29 04:05:00,680.1,4.2,247.40,13.49,30
2025-08-29 04:10:00,679.9,4.4,256.33,15.17,30
2025-08-29 04:15:00,679.9,4.3,261.70,13.99,30
2025-08-29 04:20:00,679.8,4.5,257.73,16.20,30
2025-08-29 04:25:00,679.7,4.5,237.30,14.97,30
2025-08-29 04:30:00,679.9,4.5,243.20,15.36,30
2025-08-29 04:35:00,679.8,4.6,242.50,13.56,30
2025-08-29 04:40:00,679.6,4.6,246.13,17.74,30
2025-08-29 04:45:00,679.7,4.7,253.33,16.07,30
2025-08-29 04:50:00,679.6,4.6,254.50,17.28,30
2025-08-29 04:55:00,679.7,4.4,260.57,13.79,30
2025-08-29 05:00:00,679.8,4.1,263.52,15.62,29
2025-08-29 05:05:00,679.8,4.0,275.33,21.53,30
2025-08-29 05:10:00,679.8,3.9,273.07,14.36,30
2025-08-29 05:15:00,679.8,3.9,271.17,17.84,30
2025-08-29 05:20:00,679.8,3.9,266.73,19.64,30
2025-08-29 05:25:00,679.8,3.9,259.00,16.61,30
2025-08-29 05:30:00,679.8,3.9,242.63,16.72,30
2025-08-29 05:35:00,679.8,3.9,228.27,12.08,30
2025-08-29 05:40:00,679.9,3.9,212.33,15.02,30
2025-08-29 05:45:00,680.0,3.9,233.00,15.08,30
2025-08-29 05:50:00,680.0,3.9,222.63,15.45,30
2025-08-29 05:55:00,680.1,3.6,227.70,14.85,30
2025-08-29 06:00:00,680.1,3.7,233.93,13.17,30
2025-08-29 06:05:00,680.0,3.6,235.53,12.60,30
2025-08-29 06:10:00,680.2,3.5,237.17,17.32,30
2025-08-29 06:15:00,680.2,3.5,235.20,16.56,30
2025-08-29 06:20:00,680.1,3.6,236.40,12.65,30
2025-08-29 06:25:00,680.2,3.4,242.80,14.28,30
2025-08-29 06:30:00,680.2,3.6,246.83,17.20,30
2025-08-29 06:35:00,680.3,3.5,239.37,17.36,30
2025-08-29 06:40:00,680.2,3.5,243.83,14.06,30
2025-08-29 06:45:00,680.4,3.5,244.80,16.06,30
2025-08-29 06:50:00,680.7,3.4,253.80,11.86,30
2025-08-29 06:55:00,680.5,3.6,248.40,17.52,30
2025-08-29 07:00:00,680.6,3.6,249.13,13.63,30
2025-08-29 07:05:00,680.6,3.5,260.80,14.59,30
2025-08-29 07:10:00,680.7,3.7,251.70,16.84,30
2025-08-29 07:15:00,680.6,3.8,241.53,26.57,30
2025-08-29 07:20:00,680.6,3.7,225.07,14.81,30
2025-08-29 07:25:00,680.6,4.2,238.50,15.65,30
2025-08-29 07:30:00,680.9,5.1,230.90,13.36,30
2025-08-29 07:35:00,680.8,6.6,235.93,16.46,30
2025-08-29 07:40:00,680.8,7.6,236.87,13.24,30
2025-08-29 07:45:00,680.9,7.4,239.27,13.17,30
2025-08-29 07:50:00,681.0,8.8,237.20,14.67,30
2025-08-29 07:55:00,680.9,9.5,241.83,17.77,30
2025-08-29 08:00:00,680.9,9.6,248.93,18.41,30
2025-08-29 08:05:00,680.9,8.3,253.47,13.63,30
2025-08-29 08:10:00,681.0,8.2,255.10,15.45,30
2025-08-29 08:15:00,681.0,8.5,252.87,14.29,30
2025-08-29 08:20:00,681.0,8.8,261.03,18.71,30
2025-08-29 08:25:00,681.0,9.0,257.23,14.51,30
2025-08-29 08:30:00,681.1,9.1,263.00,14.16,30
2025-08-29 08:35:00,681.2,8.0,264.77,16.62,30
2025-08-29 08:40:00,681.1,7.3,273.37,18.15,30
2025-08-29 08:45:00,681.1,8.7,267.30,16.38,30
2025-08-29 08:50:00,681.0,8.9,220.37,20.87,30
2025-08-29 08:55:00,681.1,8.2,219.50,16.81,30
2025-08-29 09:00:00,681.1,8.6,223.07,13.78,30
2025-08-29 09:05:00,681.2,8.8,225.10,12.05,30
2025-08-29 09:10:00,681.2,9.5,231.80,10.76,30
2025-08-29 09:15:00,681.2,9.1,233.43,15.76,30
2025-08-29 09:20:00,681.2,9.1,240.27,13.77,30
2025-08-29 09:25:00,681.0,10.2,242.83,17.49,30
2025-08-29 09:30:00,681.1,9.7,245.40,16.18,30
2025-08-29 09:35:00,681.1,9.5,240.23,14.83,30
2025-08-29 09:40:00,681.0,9.8,246.53,13.54,30
