Hora,Media,Desviacion_Estandar,Numero_Mediciones
2025-08-29 13:00:00,165.35,95.23,26
2025-08-29 13:05:00,250.63,18.91,30
2025-08-29 13:10:00,248.83,14.81,30
2025-08-29 13:15:00,242.07,10.88,30
2025-08-29 13:20:00,238.07,12.67,30
2025-08-29 13:25:00,240.50,17.85,30
2025-08-29 13:30:00,234.90,12.57,30
2025-08-29 13:35:00,87.67,28.13,30
2025-08-29 13:40:00,86.13,9.64,30
2025-08-29 13:45:00,92.43,8.64,30
2025-08-29 13:50:00,91.10,8.72,30
2025-08-29 13:55:00,91.23,10.06,30
2025-08-29 14:00:00,86.00,10.95,30
2025-08-29 14:05:00,94.67,7.45,30
2025-08-29 14:10:00,93.53,10.24,30
2025-08-29 14:15:00,90.40,8.18,30
2025-08-29 14:20:00,93.97,10.89,30
2025-08-29 14:25:00,88.13,9.19,30
2025-08-29 14:30:00,88.73,9.39,30
2025-08-29 14:35:00,85.47,10.37,30
2025-08-29 14:40:00,90.13,11.49,30
2025-08-29 14:45:00,86.30,9.33,30
2025-08-29 14:50:00,87.53,7.55,30
2025-08-29 14:55:00,88.43,11.05,30
2025-08-29 15:00:00,89.60,11.97,30
2025-08-29 15:05:00,87.23,8.42,30
2025-08-29 15:10:00,89.10,9.87,30
2025-08-29 15:15:00,84.10,8.63,30
2025-08-29 15:20:00,80.13,7.37,30
2025-08-29 15:25:00,83.57,10.21,30
2025-08-29 15:30:00,81.70,9.47,30
2025-08-29 15:35:00,84.33,9.13,30
2025-08-29 15:40:00,85.77,8.96,30
2025-08-29 15:45:00,86.40,11.39,30
2025-08-29 15:50:00,85.13,10.08,30
2025-08-29 15:55:00,81.43,8.53,30
2025-08-29 16:00:00,134.17,74.46,30
2025-08-29 16:05:00,247.07,17.64,30
2025-08-29 16:10:00,248.27,15.27,30
2025-08-29 16:15:00,245.50,17.53,30
2025-08-29 16:20:00,245.73,17.04,30
2025-08-29 16:25:00,250.20,21.17,30
2025-08-29 16:30:00,251.73,18.22,30
2025-08-29 16:35:00,244.90,17.26,30
2025-08-29 16:40:00,251.40,16.75,30
2025-08-29 16:45:00,255.73,15.95,30
2025-08-29 16:50:00,265.97,16.87,30
2025-08-29 16:55:00,202.53,81.10,30
2025-08-29 17:00:00,106.60,86.76,30
2025-08-29 17:05:00,247.40,13.49,30
2025-08-29 17:10:00,256.33,15.17,30
2025-08-29 17:15:00,261.70,13.99,30
2025-08-29 17:20:00,257.73,16.20,30
2025-08-29 17:25:00,237.30,14.97,30
2025-08-29 17:30:00,243.20,15.36,30
2025-08-29 17:35:00,242.50,13.56,30
2025-08-29 17:40:00,246.13,17.74,30
2025-08-29 17:45:00,253.33,16.07,30
2025-08-29 17:50:00,254.50,17.28,30
2025-08-29 17:55:00,260.57,13.79,30
2025-08-29 18:00:00,263.52,15.62,29
2025-08-29 18:05:00,275.33,21.53,30
2025-08-29 18:10:00,273.07,14.36,30
2025-08-29 18:15:00,271.17,17.84,30
2025-08-29 18:20:00,266.73,19.64,30
2025-08-29 18:25:00,259.00,16.61,30
2025-08-29 18:30:00,242.63,16.72,30
2025-08-29 18:35:00,228.27,12.08,30
2025-08-29 18:40:00,212.33,15.02,30
2025-08-29 18:45:00,233.00,15.08,30
2025-08-29 18:50:00,222.63,15.45,30
2025-08-29 18:55:00,227.70,14.85,30
2025-08-29 19:00:00,233.93,13.17,30
2025-08-29 19:05:00,235.53,12.60,30
2025-08-29 19:10:00,237.17,17.32,30
2025-08-29 19:15:00,235.20,16.56,30
2025-08-29 19:20:00,236.40,12.65,30
2025-08-29 19:25:00,242.80,14.28,30
2025-08-29 19:30:00,246.83,17.20,30
2025-08-29 19:35:00,239.37,17.36,30
2025-08-29 19:40:00,243.83,14.06,30
2025-08-29 19:45:00,244.80,16.06,30
2025-08-29 19:50:00,253.80,11.86,30
2025-08-29 19:55:00,248.40,17.52,30
2025-08-29 20:00:00,249.13,13.63,30
2025-08-29 20:05:00,260.80,14.59,30
2025-08-29 20:10:00,251.70,16.84,30
2025-08-29 20:15:00,241.53,26.57,30
2025-08-29 20:20:00,225.07,14.81,30
2025-08-29 20:25:00,238.50,15.65,30
2025-08-29 20:30:00,230.90,13.36,30
2025-08-29 20:35:00,235.93,16.46,30
2025-08-29 20:40:00,236.87,13.24,30
2025-08-29 20:45:00,239.27,13.17,30
2025-08-29 20:50:00,237.20,14.67,30
2025-08-29 20:55:00,241.83,17.77,30
2025-08-29 21:00:00,248.93,18.41,30
2025-08-29 21:05:00,253.47,13.63,30
2025-08-29 21:10:00,255.10,15.45,30
2025-08-29 21:15:00,252.87,14.29,30
2025-08-29 21:20:00,261.03,18.71,30
2025-08-29 21:25:00,257.23,14.51,30
2025-08-29 21:30:00,263.00,14.16,30
