Date,Outdoor Temperature (°C),Absolute Pressure (hPa)
2025-09-01T23:55:00-04:00,8.7,681.7
2025-09-01T23:50:00-04:00,8.9,681.6
2025-09-01T23:45:00-04:00,8.9,681.5
2025-09-01T23:40:00-04:00,8.9,681.6
2025-09-01T23:35:00-04:00,8.8,681.8
2025-09-01T23:30:00-04:00,9.0,681.7
2025-09-01T23:25:00-04:00,9.2,681.4
2025-09-01T23:20:00-04:00,9.1,681.5
2025-09-01T23:15:00-04:00,9.2,681.4
2025-09-01T23:10:00-04:00,9.2,681.4
2025-09-01T23:05:00-04:00,9.2,681.6
2025-09-01T23:00:00-04:00,9.2,681.3
2025-09-01T22:55:00-04:00,9.1,681.3
2025-09-01T22:50:00-04:00,9.2,681.2
2025-09-01T22:45:00-04:00,9.4,681.1
2025-09-01T22:40:00-04:00,9.3,681.1
2025-09-01T22:35:00-04:00,9.4,681.0
2025-09-01T22:30:00-04:00,9.5,680.9
2025-09-01T22:25:00-04:00,9.6,680.7
2025-09-01T22:20:00-04:00,9.7,680.8
2025-09-01T22:15:00-04:00,9.7,680.6
2025-09-01T22:10:00-04:00,9.7,680.5
2025-09-01T22:05:00-04:00,9.7,680.7
2025-09-01T22:00:00-04:00,9.8,680.5
2025-09-01T21:55:00-04:00,9.9,680.5
2025-09-01T21:50:00-04:00,10.0,680.5
2025-09-01T21:45:00-04:00,10.1,680.4
2025-09-01T21:40:00-04:00,10.3,680.2
2025-09-01T21:35:00-04:00,10.5,680.3
2025-09-01T21:30:00-04:00,10.4,680.2
2025-09-01T21:25:00-04:00,10.4,680.0
2025-09-01T21:20:00-04:00,10.4,680.2
2025-09-01T21:15:00-04:00,10.6,680.3
2025-09-01T21:10:00-04:00,11.0,680.1
2025-09-01T21:05:00-04:00,11.0,680.2
2025-09-01T21:00:00-04:00,11.1,680.0
2025-09-01T20:55:00-04:00,11.1,680.1
2025-09-01T20:50:00-04:00,11.0,680.2
2025-09-01T20:45:00-04:00,11.1,679.9
2025-09-01T20:40:00-04:00,11.3,679.9
2025-09-01T20:35:00-04:00,11.4,679.7
2025-09-01T20:30:00-04:00,11.6,679.7
2025-09-01T20:25:00-04:00,11.6,679.7
2025-09-01T20:20:00-04:00,11.8,679.7
2025-09-01T20:15:00-04:00,12.2,679.5
2025-09-01T20:10:00-04:00,12.3,679.5
2025-09-01T20:05:00-04:00,12.4,679.5
2025-09-01T20:00:00-04:00,12.3,679.4
2025-09-01T19:55:00-04:00,12.4,679.3
2025-09-01T19:50:00-04:00,12.6,679.3
2025-09-01T19:45:00-04:00,12.8,679.2
2025-09-01T19:40:00-04:00,12.9,679.1
2025-09-01T19:35:00-04:00,13.1,679.0
2025-09-01T19:30:00-04:00,13.2,679.2
2025-09-01T19:25:00-04:00,13.3,679.0
2025-09-01T19:20:00-04:00,13.5,679.0
2025-09-01T19:15:00-04:00,13.6,678.9
2025-09-01T19:10:00-04:00,13.9,678.7
2025-09-01T19:05:00-04:00,14.1,678.6
2025-09-01T19:00:00-04:00,14.2,678.5
2025-09-01T18:55:00-04:00,14.3,678.6
2025-09-01T18:50:00-04:00,14.3,678.7
2025-09-01T18:45:00-04:00,14.4,678.4
2025-09-01T18:40:00-04:00,14.5,678.5
2025-09-01T18:35:00-04:00,14.7,678.5
2025-09-01T18:30:00-04:00,14.9,678.4
2025-09-01T18:25:00-04:00,15.0,678.4
2025-09-01T18:20:00-04:00,15.2,678.4
2025-09-01T18:15:00-04:00,15.3,678.2
2025-09-01T18:10:00-04:00,16.0,678.4
2025-09-01T18:05:00-04:00,16.5,678.3
2025-09-01T18:00:00-04:00,16.7,678.2
2025-09-01T17:55:00-04:00,17.3,678.1
2025-09-01T17:50:00-04:00,17.3,678.1
2025-09-01T17:45:00-04:00,17.0,678.0
2025-09-01T17:40:00-04:00,17.8,677.9
2025-09-01T17:35:00-04:00,18.7,677.9
2025-09-01T17:30:00-04:00,18.9,678.0
2025-09-01T17:25:00-04:00,19.1,677.9
2025-09-01T17:20:00-04:00,19.3,678.0
2025-09-01T17:15:00-04:00,19.4,677.9
2025-09-01T17:10:00-04:00,18.6,677.8
2025-09-01T17:05:00-04:00,18.2,677.8
2025-09-01T17:00:00-04:00,18.3,677.8
2025-09-01T16:55:00-04:00,17.7,677.6
2025-09-01T16:50:00-04:00,17.8,677.6
2025-09-01T16:45:00-04:00,18.0,677.6
2025-09-01T16:40:00-04:00,18.3,677.3
2025-09-01T16:35:00-04:00,18.0,677.6
2025-09-01T16:30:00-04:00,18.8,677.5
2025-09-01T16:25:00-04:00,20.1,677.5
2025-09-01T16:20:00-04:00,19.9,677.5
2025-09-01T16:15:00-04:00,19.1,677.6
2025-09-01T16:10:00-04:00,18.4,677.7
2025-09-01T16:05:00-04:00,18.2,677.8
2025-09-01T16:00:00-04:00,20.6,677.8
2025-09-01T15:55:00-04:00,20.5,677.8
2025-09-01T15:50:00-04:00,18.9,677.6
2025-09-01T15:45:00-04:00,19.8,677.5
2025-09-01T15:40:00-04:00,20.4,677.6
2025-09-01T15:35:00-04:00,19.6,677.8
2025-09-01T15:30:00-04:00,19.3,677.6
2025-09-01T15:25:00-04:00,19.3,677.7
2025-09-01T15:20:00-04:00,21.2,677.6
2025-09-01T15:15:00-04:00,20.2,677.6
2025-09-01T15:10:00-04:00,19.8,677.9
2025-09-01T15:05:00-04:00,20.0,677.9
2025-09-01T15:00:00-04:00,19.9,678.0
2025-09-01T14:55:00-04:00,19.5,678.0
2025-09-01T14:50:00-04:00,19.7,678.1
2025-09-01T14:45:00-04:00,19.5,678.1
2025-09-01T14:40:00-04:00,19.6,678.2
2025-09-01T14:35:00-04:00,19.7,678.3
2025-09-01T14:30:00-04:00,20.0,678.3
2025-09-01T14:25:00-04:00,20.2,678.4
2025-09-01T14:20:00-04:00,19.1,678.5
2025-09-01T14:15:00-04:00,20.2,678.6
2025-09-01T14:10:00-04:00,19.7,678.7
2025-09-01T14:05:00-04:00,19.5,678.9
2025-09-01T14:00:00-04:00,19.4,678.9
2025-09-01T13:55:00-04:00,19.3,679.0
2025-09-01T13:50:00-04:00,19.1,679.2
2025-09-01T13:45:00-04:00,19.2,679.1
2025-09-01T13:40:00-04:00,18.4,679.3
2025-09-01T13:35:00-04:00,18.5,679.2
2025-09-01T13:30:00-04:00,18.5,679.5
2025-09-01T13:25:00-04:00,18.5,679.6
2025-09-01T13:20:00-04:00,18.7,679.5
2025-09-01T13:15:00-04:00,17.9,679.6
2025-09-01T13:10:00-04:00,18.5,679.7
2025-09-01T13:05:00-04:00,18.4,679.7
2025-09-01T13:00:00-04:00,18.4,679.9
2025-09-01T12:55:00-04:00,17.7,679.8
2025-09-01T12:50:00-04:00,17.3,680.0
2025-09-01T12:45:00-04:00,17.3,680.0
2025-09-01T12:40:00-04:00,16.9,680.1
2025-09-01T12:35:00-04:00,17.0,680.4
2025-09-01T12:30:00-04:00,18.3,680.3
2025-09-01T12:25:00-04:00,17.0,680.5
2025-09-01T12:20:00-04:00,16.8,680.6
2025-09-01T12:15:00-04:00,16.3,680.5
2025-09-01T12:10:00-04:00,16.0,680.7
2025-09-01T12:05:00-04:00,16.7,680.8
2025-09-01T12:00:00-04:00,16.7,680.9
2025-09-01T11:55:00-04:00,16.6,680.8
2025-09-01T11:50:00-04:00,16.1,681.1
2025-09-01T11:45:00-04:00,16.1,681.3
2025-09-01T11:40:00-04:00,15.7,681.2
2025-09-01T11:35:00-04:00,15.1,681.3
2025-09-01T11:30:00-04:00,14.6,681.5
2025-09-01T11:25:00-04:00,14.4,681.5
2025-09-01T11:20:00-04:00,14.8,681.6
2025-09-01T11:15:00-04:00,14.4,681.6
2025-09-01T11:10:00-04:00,14.5,681.9
2025-09-01T11:05:00-04:00,13.9,681.9
2025-09-01T11:00:00-04:00,13.3,682.0
2025-09-01T10:55:00-04:00,13.6,682.0
2025-09-01T10:50:00-04:00,13.7,682.1
2025-09-01T10:45:00-04:00,13.7,682.1
2025-09-01T10:40:00-04:00,13.8,682.3
2025-09-01T10:35:00-04:00,13.0,682.4
2025-09-01T10:30:00-04:00,12.4,682.6
2025-09-01T10:25:00-04:00,13.3,682.4
2025-09-01T10:20:00-04:00,12.6,682.7
2025-09-01T10:15:00-04:00,11.9,682.4
2025-09-01T10:10:00-04:00,12.0,682.4
2025-09-01T10:05:00-04:00,12.6,682.3
2025-09-01T10:00:00-04:00,11.9,682.5
2025-09-01T09:55:00-04:00,11.3,682.5
2025-09-01T09:50:00-04:00,13.8,682.4
2025-09-01T09:45:00-04:00,12.1,682.5
2025-09-01T09:40:00-04:00,11.7,682.6
2025-09-01T09:35:00-04:00,11.8,682.6
2025-09-01T09:30:00-04:00,10.3,682.6
2025-09-01T09:25:00-04:00,11.2,682.6
2025-09-01T09:20:00-04:00,11.4,682.7
2025-09-01T09:15:00-04:00,10.9,682.5
2025-09-01T09:10:00-04:00,10.4,682.7
2025-09-01T09:05:00-04:00,10.4,682.6
2025-09-01T09:00:00-04:00,10.5,682.6
2025-09-01T08:55:00-04:00,10.0,682.5
2025-09-01T08:50:00-04:00,10.6,682.6
2025-09-01T08:45:00-04:00,11.0,682.4
2025-09-01T08:40:00-04:00,10.8,682.4
2025-09-01T08:35:00-04:00,10.2,682.4
2025-09-01T08:30:00-04:00,11.9,682.5
2025-09-01T08:25:00-04:00,11.5,682.5
2025-09-01T08:20:00-04:00,12.4,682.5
2025-09-01T08:15:00-04:00,10.9,682.5
2025-09-01T08:10:00-04:00,10.7,682.3
2025-09-01T08:05:00-04:00,10.1,682.3
2025-09-01T08:00:00-04:00,8.7,682.3
2025-09-01T07:55:00-04:00,8.9,682.5
2025-09-01T07:50:00-04:00,9.2,682.2
2025-09-01T07:45:00-04:00,10.6,682.2
2025-09-01T07:40:00-04:00,9.8,682.1
2025-09-01T07:35:00-04:00,9.4,682.0
2025-09-01T07:30:00-04:00,9.3,682.0
2025-09-01T07:25:00-04:00,8.1,681.9
2025-09-01T07:20:00-04:00,6.8,682.0
2025-09-01T07:15:00-04:00,6.1,682.0
2025-09-01T07:10:00-04:00,5.9,681.9
2025-09-01T07:05:00-04:00,6.0,682.0
2025-09-01T07:00:00-04:00,6.0,681.8
2025-09-01T06:55:00-04:00,6.0,681.9
2025-09-01T06:50:00-04:00,5.9,681.9
2025-09-01T06:45:00-04:00,6.0,681.8
2025-09-01T06:40:00-04:00,6.0,681.6
2025-09-01T06:35:00-04:00,6.3,681.9
2025-09-01T06:30:00-04:00,6.6,681.5
2025-09-01T06:25:00-04:00,6.8,681.6
2025-09-01T06:20:00-04:00,7.0,681.6
2025-09-01T06:15:00-04:00,7.1,681.6
2025-09-01T06:10:00-04:00,7.3,681.3
2025-09-01T06:05:00-04:00,7.3,681.3
2025-09-01T06:00:00-04:00,7.7,681.4
2025-09-01T05:55:00-04:00,7.3,681.6
2025-09-01T05:50:00-04:00,7.5,681.4
2025-09-01T05:45:00-04:00,7.5,681.3
2025-09-01T05:40:00-04:00,7.6,681.4
2025-09-01T05:35:00-04:00,7.6,681.1
2025-09-01T05:30:00-04:00,7.6,681.2
2025-09-01T05:25:00-04:00,7.6,681.2
2025-09-01T05:20:00-04:00,7.6,681.2
2025-09-01T05:15:00-04:00,7.5,681.1
2025-09-01T05:10:00-04:00,7.6,681.2
2025-09-01T05:05:00-04:00,7.5,680.9
2025-09-01T05:00:00-04:00,7.5,681.1
2025-09-01T04:55:00-04:00,7.5,681.0
2025-09-01T04:50:00-04:00,7.4,681.1
2025-09-01T04:45:00-04:00,7.4,680.7
2025-09-01T04:40:00-04:00,7.4,680.9
2025-09-01T04:35:00-04:00,7.3,680.7
2025-09-01T04:30:00-04:00,7.2,680.9
2025-09-01T04:25:00-04:00,7.2,680.9
2025-09-01T04:20:00-04:00,7.2,680.9
2025-09-01T04:15:00-04:00,7.2,680.8
2025-09-01T04:10:00-04:00,7.0,680.8
2025-09-01T04:05:00-04:00,6.9,681.1
2025-09-01T04:00:00-04:00,6.7,680.8
2025-09-01T03:55:00-04:00,6.5,680.7
2025-09-01T03:50:00-04:00,6.4,680.9
2025-09-01T03:45:00-04:00,6.2,680.9
2025-09-01T03:40:00-04:00,6.1,680.9
2025-09-01T03:35:00-04:00,6.0,680.7
2025-09-01T03:30:00-04:00,6.0,680.9
2025-09-01T03:25:00-04:00,6.0,680.8
2025-09-01T03:20:00-04:00,6.2,680.8
2025-09-01T03:15:00-04:00,6.4,680.8
2025-09-01T03:10:00-04:00,6.4,681.0
2025-09-01T03:05:00-04:00,6.3,680.9
2025-09-01T03:00:00-04:00,6.4,681.0
2025-09-01T02:55:00-04:00,6.4,680.9
2025-09-01T02:50:00-04:00,6.4,680.8
2025-09-01T02:45:00-04:00,6.4,681.0
2025-09-01T02:40:00-04:00,6.4,680.9
2025-09-01T02:35:00-04:00,6.5,680.9
2025-09-01T02:30:00-04:00,6.6,680.9
2025-09-01T02:25:00-04:00,6.6,681.0
2025-09-01T02:20:00-04:00,6.5,680.8
2025-09-01T02:15:00-04:00,6.6,681.0
2025-09-01T02:10:00-04:00,6.6,680.9
2025-09-01T02:05:00-04:00,6.7,681.0
2025-09-01T02:00:00-04:00,6.7,681.2
2025-09-01T01:55:00-04:00,6.8,680.8
2025-09-01T01:50:00-04:00,6.8,680.9
2025-09-01T01:45:00-04:00,7.1,681.1
2025-09-01T01:40:00-04:00,7.1,681.0
2025-09-01T01:35:00-04:00,7.0,680.7
2025-09-01T01:30:00-04:00,7.2,681.0
2025-09-01T01:25:00-04:00,7.3,681.1
2025-09-01T01:20:00-04:00,7.1,681.0
2025-09-01T01:15:00-04:00,7.2,681.2
2025-09-01T01:10:00-04:00,7.3,681.1
2025-09-01T01:05:00-04:00,7.4,681.2
2025-09-01T01:00:00-04:00,7.5,681.1
2025-09-01T00:55:00-04:00,7.5,681.0
2025-09-01T00:50:00-04:00,7.7,681.2
2025-09-01T00:45:00-04:00,7.9,681.2
2025-09-01T00:40:00-04:00,7.7,681.2
2025-09-01T00:35:00-04:00,7.7,681.3
2025-09-01T00:30:00-04:00,7.7,681.1
2025-09-01T00:25:00-04:00,7.8,681.1
2025-09-01T00:20:00-04:00,8.0,681.3
2025-09-01T00:15:00-04:00,8.2,681.3
2025-09-01T00:10:00-04:00,8.2,681.3
2025-09-01T00:05:00-04:00,8.4,681.5
2025-09-01T00:00:00-04:00,8.5,681.3
2025-08-31T23:55:00-04:00,8.6,681.2
2025-08-31T23:50:00-04:00,8.7,681.3
2025-08-31T23:45:00-04:00,8.7,681.2
2025-08-31T23:40:00-04:00,8.8,681.2
2025-08-31T23:35:00-04:00,9.0,681.2
2025-08-31T23:30:00-04:00,9.1,681.1
2025-08-31T23:25:00-04:00,9.2,681.1
2025-08-31T23:20:00-04:00,9.1,681.0
2025-08-31T23:15:00-04:00,9.1,681.2
2025-08-31T23:10:00-04:00,9.0,681.1
2025-08-31T23:05:00-04:00,9.2,681.0
2025-08-31T23:00:00-04:00,9.3,681.1
2025-08-31T22:55:00-04:00,9.1,681.0
2025-08-31T22:50:00-04:00,9.0,681.1
2025-08-31T22:45:00-04:00,9.1,681.1
2025-08-31T22:40:00-04:00,9.5,680.8
2025-08-31T22:35:00-04:00,9.6,681.0
2025-08-31T22:30:00-04:00,9.6,680.9
2025-08-31T22:25:00-04:00,9.6,680.7
2025-08-31T22:20:00-04:00,9.2,680.7
2025-08-31T22:15:00-04:00,9.4,680.8
2025-08-31T22:10:00-04:00,9.7,680.7
2025-08-31T22:05:00-04:00,10.0,680.6
2025-08-31T22:00:00-04:00,10.1,680.7
2025-08-31T21:55:00-04:00,10.2,680.4
2025-08-31T21:50:00-04:00,10.3,680.5
2025-08-31T21:45:00-04:00,10.1,680.3
2025-08-31T21:40:00-04:00,10.1,680.3
2025-08-31T21:35:00-04:00,10.2,680.4
2025-08-31T21:30:00-04:00,10.4,680.1
2025-08-31T21:25:00-04:00,10.4,680.2
2025-08-31T21:20:00-04:00,10.4,680.2
2025-08-31T21:15:00-04:00,10.8,680.1
2025-08-31T21:10:00-04:00,10.9,680.1
2025-08-31T21:05:00-04:00,10.6,679.9
2025-08-31T21:00:00-04:00,10.2,679.9
2025-08-31T20:55:00-04:00,10.5,680.0
2025-08-31T20:50:00-04:00,10.8,679.8
2025-08-31T20:45:00-04:00,11.0,679.6
2025-08-31T20:40:00-04:00,11.2,679.6
2025-08-31T20:35:00-04:00,11.4,679.5
2025-08-31T20:30:00-04:00,11.6,679.4
2025-08-31T20:25:00-04:00,11.9,679.5
2025-08-31T20:20:00-04:00,12.1,679.4
2025-08-31T20:15:00-04:00,12.1,679.5
2025-08-31T20:10:00-04:00,12.3,679.3
2025-08-31T20:05:00-04:00,12.4,679.1
2025-08-31T20:00:00-04:00,12.2,679.2
2025-08-31T19:55:00-04:00,12.6,679.1
2025-08-31T19:50:00-04:00,12.6,679.0
2025-08-31T19:45:00-04:00,12.8,678.7
2025-08-31T19:40:00-04:00,12.9,678.9
2025-08-31T19:35:00-04:00,13.1,678.7
2025-08-31T19:30:00-04:00,13.2,678.6
2025-08-31T19:25:00-04:00,13.4,678.6
2025-08-31T19:20:00-04:00,13.0,678.3
2025-08-31T19:15:00-04:00,13.3,678.2
2025-08-31T19:10:00-04:00,13.4,678.2
2025-08-31T19:05:00-04:00,13.6,678.0
2025-08-31T19:00:00-04:00,13.8,678.0
2025-08-31T18:55:00-04:00,14.0,677.8
2025-08-31T18:50:00-04:00,14.4,677.7
2025-08-31T18:45:00-04:00,14.8,677.7
2025-08-31T18:40:00-04:00,14.9,677.5
2025-08-31T18:35:00-04:00,15.2,677.4
2025-08-31T18:30:00-04:00,16.0,677.4
2025-08-31T18:25:00-04:00,16.8,677.1
2025-08-31T18:20:00-04:00,17.0,677.2
2025-08-31T18:15:00-04:00,17.2,677.3
2025-08-31T18:10:00-04:00,17.6,677.2
2025-08-31T18:05:00-04:00,18.1,677.1
2025-08-31T18:00:00-04:00,18.6,676.8
2025-08-31T17:55:00-04:00,19.0,677.1
2025-08-31T17:50:00-04:00,18.8,677.0
2025-08-31T17:45:00-04:00,19.2,677.0
2025-08-31T17:40:00-04:00,18.5,677.0
2025-08-31T17:35:00-04:00,18.1,677.3
2025-08-31T17:30:00-04:00,18.3,677.3
2025-08-31T17:25:00-04:00,18.6,677.2
2025-08-31T17:20:00-04:00,18.8,677.2
2025-08-31T17:15:00-04:00,18.7,677.0
2025-08-31T17:10:00-04:00,18.7,677.4
2025-08-31T17:05:00-04:00,18.6,677.2
2025-08-31T17:00:00-04:00,18.8,677.4
2025-08-31T16:55:00-04:00,19.5,677.6
2025-08-31T16:50:00-04:00,19.1,677.4
2025-08-31T16:45:00-04:00,19.0,677.4
2025-08-31T16:40:00-04:00,19.1,677.6
2025-08-31T16:35:00-04:00,19.7,677.5
2025-08-31T16:30:00-04:00,18.7,677.6
2025-08-31T16:25:00-04:00,19.5,677.5
2025-08-31T16:20:00-04:00,18.8,677.6
2025-08-31T16:15:00-04:00,19.0,677.6
2025-08-31T16:10:00-04:00,18.7,677.6
2025-08-31T16:05:00-04:00,19.4,677.5
2025-08-31T16:00:00-04:00,19.7,677.5
2025-08-31T15:55:00-04:00,19.7,677.5
2025-08-31T15:50:00-04:00,19.3,677.6
2025-08-31T15:45:00-04:00,19.0,677.7
2025-08-31T15:40:00-04:00,19.1,677.5
2025-08-31T15:35:00-04:00,19.7,677.5
2025-08-31T15:30:00-04:00,18.8,677.6
2025-08-31T15:25:00-04:00,18.6,677.5
2025-08-31T15:20:00-04:00,18.9,677.9
2025-08-31T15:15:00-04:00,19.4,677.7
2025-08-31T15:10:00-04:00,19.9,677.8
2025-08-31T15:05:00-04:00,19.6,677.7
2025-08-31T15:00:00-04:00,18.8,677.8
2025-08-31T14:55:00-04:00,19.0,677.9
2025-08-31T14:50:00-04:00,18.5,677.7
2025-08-31T14:45:00-04:00,19.3,677.9
2025-08-31T14:40:00-04:00,18.6,677.8
2025-08-31T14:35:00-04:00,18.6,678.0
2025-08-31T14:30:00-04:00,19.0,678.2
2025-08-31T14:25:00-04:00,18.3,678.2
2025-08-31T14:20:00-04:00,18.4,678.3
2025-08-31T14:15:00-04:00,18.2,678.3
2025-08-31T14:10:00-04:00,18.1,678.5
2025-08-31T14:05:00-04:00,17.9,678.7
2025-08-31T14:00:00-04:00,17.7,678.7
2025-08-31T13:55:00-04:00,18.1,678.7
2025-08-31T13:50:00-04:00,17.9,678.9
2025-08-31T13:45:00-04:00,18.2,678.8
2025-08-31T13:40:00-04:00,17.2,679.1
2025-08-31T13:35:00-04:00,17.8,679.2
2025-08-31T13:30:00-04:00,18.2,679.1
2025-08-31T13:25:00-04:00,18.3,679.2
2025-08-31T13:20:00-04:00,18.0,679.4
2025-08-31T13:15:00-04:00,17.9,679.2
2025-08-31T13:10:00-04:00,17.2,679.6
2025-08-31T13:05:00-04:00,17.4,679.6
2025-08-31T13:00:00-04:00,17.7,679.5
2025-08-31T12:55:00-04:00,17.2,679.7
2025-08-31T12:50:00-04:00,16.7,679.7
2025-08-31T12:45:00-04:00,16.6,679.9
2025-08-31T12:40:00-04:00,17.0,679.9
2025-08-31T12:35:00-04:00,17.4,679.8
2025-08-31T12:30:00-04:00,16.1,680.1
2025-08-31T12:25:00-04:00,16.7,680.1
2025-08-31T12:20:00-04:00,16.3,680.1
2025-08-31T12:15:00-04:00,15.7,680.2
2025-08-31T12:10:00-04:00,15.7,680.3
2025-08-31T12:05:00-04:00,15.8,680.3
2025-08-31T12:00:00-04:00,15.4,680.4
2025-08-31T11:55:00-04:00,15.6,680.4
2025-08-31T11:50:00-04:00,16.5,680.5
2025-08-31T11:45:00-04:00,15.9,680.6
2025-08-31T11:40:00-04:00,15.5,680.7
2025-08-31T11:35:00-04:00,15.1,680.7
2025-08-31T11:30:00-04:00,15.3,680.7
2025-08-31T11:25:00-04:00,15.3,680.8
2025-08-31T11:20:00-04:00,13.9,680.9
2025-08-31T11:15:00-04:00,13.8,680.8
2025-08-31T11:10:00-04:00,14.8,681.0
2025-08-31T11:05:00-04:00,13.6,681.2
2025-08-31T11:00:00-04:00,14.1,681.0
2025-08-31T10:55:00-04:00,13.6,681.1
2025-08-31T10:50:00-04:00,13.0,681.2
2025-08-31T10:45:00-04:00,13.3,681.3
2025-08-31T10:40:00-04:00,13.8,681.2
2025-08-31T10:35:00-04:00,13.4,681.4
2025-08-31T10:30:00-04:00,13.8,681.3
2025-08-31T10:25:00-04:00,14.1,681.5
2025-08-31T10:20:00-04:00,13.0,681.4
2025-08-31T10:15:00-04:00,13.5,681.4
2025-08-31T10:10:00-04:00,13.8,681.2
2025-08-31T10:05:00-04:00,13.8,681.4
2025-08-31T10:00:00-04:00,12.7,681.5
2025-08-31T09:55:00-04:00,12.1,681.6
2025-08-31T09:50:00-04:00,12.0,681.7
2025-08-31T09:45:00-04:00,11.2,681.7
2025-08-31T09:40:00-04:00,11.8,681.6
2025-08-31T09:35:00-04:00,11.6,681.7
2025-08-31T09:30:00-04:00,11.9,681.8
2025-08-31T09:25:00-04:00,11.6,681.5
2025-08-31T09:20:00-04:00,11.0,681.6
2025-08-31T09:15:00-04:00,11.5,681.4
2025-08-31T09:10:00-04:00,11.1,681.6
2025-08-31T09:05:00-04:00,11.6,681.6
2025-08-31T09:00:00-04:00,12.6,681.6
2025-08-31T08:55:00-04:00,13.0,681.6
2025-08-31T08:50:00-04:00,11.0,681.8
2025-08-31T08:45:00-04:00,12.7,681.7
2025-08-31T08:40:00-04:00,12.0,681.5
2025-08-31T08:35:00-04:00,11.4,681.6
2025-08-31T08:30:00-04:00,10.3,681.6
2025-08-31T08:25:00-04:00,11.3,681.7
2025-08-31T08:20:00-04:00,11.2,681.7
2025-08-31T08:15:00-04:00,11.3,681.6
2025-08-31T08:10:00-04:00,12.2,681.5
2025-08-31T08:05:00-04:00,11.3,681.4
2025-08-31T08:00:00-04:00,10.5,681.5
2025-08-31T07:55:00-04:00,9.8,681.5
2025-08-31T07:50:00-04:00,8.9,681.5
2025-08-31T07:45:00-04:00,9.4,681.4
2025-08-31T07:40:00-04:00,8.8,681.4
2025-08-31T07:35:00-04:00,7.4,681.3
2025-08-31T07:30:00-04:00,6.8,681.3
2025-08-31T07:25:00-04:00,7.1,681.3
2025-08-31T07:20:00-04:00,6.3,681.1
2025-08-31T07:15:00-04:00,5.6,681.1
2025-08-31T07:10:00-04:00,5.7,681.1
2025-08-31T07:05:00-04:00,5.9,681.0
2025-08-31T07:00:00-04:00,5.7,681.0
2025-08-31T06:55:00-04:00,5.6,681.0
2025-08-31T06:50:00-04:00,5.7,681.0
2025-08-31T06:45:00-04:00,5.8,680.9
2025-08-31T06:40:00-04:00,5.9,681.0
2025-08-31T06:35:00-04:00,6.0,680.8
2025-08-31T06:30:00-04:00,6.0,680.8
2025-08-31T06:25:00-04:00,6.1,680.7
2025-08-31T06:20:00-04:00,6.1,680.5
2025-08-31T06:15:00-04:00,6.1,680.5
2025-08-31T06:10:00-04:00,6.1,680.5
2025-08-31T06:05:00-04:00,6.0,680.5
2025-08-31T06:00:00-04:00,6.0,680.4
2025-08-31T05:55:00-04:00,6.0,680.2
2025-08-31T05:50:00-04:00,6.1,680.3
2025-08-31T05:45:00-04:00,6.1,680.2
2025-08-31T05:40:00-04:00,6.1,680.3
2025-08-31T05:35:00-04:00,6.0,680.2
2025-08-31T05:30:00-04:00,6.1,680.1
2025-08-31T05:25:00-04:00,6.1,680.1
2025-08-31T05:20:00-04:00,6.3,680.2
2025-08-31T05:15:00-04:00,6.3,680.1
2025-08-31T05:10:00-04:00,6.5,680.1
2025-08-31T05:05:00-04:00,6.3,680.1
2025-08-31T05:00:00-04:00,6.6,680.2
2025-08-31T04:55:00-04:00,6.4,680.1
2025-08-31T04:50:00-04:00,6.4,680.0
2025-08-31T04:45:00-04:00,6.6,680.2
2025-08-31T04:40:00-04:00,6.7,680.1
2025-08-31T04:35:00-04:00,6.6,680.0
2025-08-31T04:30:00-04:00,6.8,680.0
2025-08-31T04:25:00-04:00,6.9,680.2
2025-08-31T04:20:00-04:00,7.1,679.9
2025-08-31T04:15:00-04:00,6.9,680.0
2025-08-31T04:10:00-04:00,6.8,680.0
2025-08-31T04:05:00-04:00,6.7,679.9
2025-08-31T04:00:00-04:00,6.7,679.9
2025-08-31T03:55:00-04:00,6.7,679.8
2025-08-31T03:50:00-04:00,6.6,679.9
2025-08-31T03:45:00-04:00,6.6,679.6
2025-08-31T03:40:00-04:00,6.6,679.8
2025-08-31T03:35:00-04:00,6.3,679.6
2025-08-31T03:30:00-04:00,6.2,679.7
2025-08-31T03:25:00-04:00,6.4,679.5
2025-08-31T03:20:00-04:00,6.4,679.5
2025-08-31T03:15:00-04:00,6.5,679.6
2025-08-31T03:10:00-04:00,6.4,679.6
2025-08-31T03:05:00-04:00,6.3,679.5
2025-08-31T03:00:00-04:00,6.6,679.5
2025-08-31T02:55:00-04:00,6.7,679.7
2025-08-31T02:50:00-04:00,6.8,679.5
2025-08-31T02:45:00-04:00,7.0,679.5
2025-08-31T02:40:00-04:00,7.2,679.4
2025-08-31T02:35:00-04:00,7.4,679.5
2025-08-31T02:30:00-04:00,7.4,679.6
2025-08-31T02:25:00-04:00,7.5,679.6
