"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Wind Speed (m/sec)","Wind Gust (m/sec)","Max Daily Gust (m/sec)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","PM2.5 Outdoor (µg/m^3)","PM2.5 Outdoor 24 Hour Average (µg/m^3)","Absolute Pressure (hPa)","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (m/sec)","PM2.5 Outdoor","PM2.5 Outdoor 24 Hour Average","CO2 battery"
2025-09-05T20:20:00-04:00,2025-09-05 20:20:00,9.2,8.9,1.4,2.5,9.7,287,0,0.3,1.1,1.5,1.5,413.3,680.3,82,0,0,5,7.8,680.3,306,0.6,21,33,1
2025-09-05T20:15:00-04:00,2025-09-05 20:15:00,9.1,9.1,0,0.8,9.7,45,0,0.3,1.1,1.5,1.5,413.3,680.3,82,0,0,1,7.8,680.3,45,0.5,4,33,1
2025-09-05T20:10:00-04:00,2025-09-05 20:10:00,9.1,9.1,0,1,9.7,147,0,0.3,1.1,1.5,1.5,413.3,680.4,82,0,0,1,7.8,680.4,76,0.7,4,33,1
2025-09-05T20:05:00-04:00,2025-09-05 20:05:00,9.2,9.2,0.7,1.6,9.7,62,0,0.3,1.1,1.5,1.5,413.3,680.3,82,0,0,6,7.8,680.3,76,0.8,25,33,1
2025-09-05T20:00:00-04:00,2025-09-05 20:00:00,9.1,9.1,0.7,1.7,9.7,140,0,0.3,1.1,1.5,1.5,413.3,680.3,82,0,0,6,7.8,680.3,5,0.6,25,33,1
2025-09-05T19:55:00-04:00,2025-09-05 19:55:00,9.2,9.2,0.6,1.4,9.7,318,0,0.3,1.1,1.5,1.5,413.3,680.3,82,0,0,2,7.8,680.3,1,0.6,8,33,1
2025-09-05T19:50:00-04:00,2025-09-05 19:50:00,9.2,9.2,0.7,1.4,9.7,1,0,0.3,1.1,1.5,1.5,413.3,679.9,81,0,0,2,7.8,679.9,1,0.5,8,33,1
2025-09-05T19:45:00-04:00,2025-09-05 19:45:00,9.2,9.2,0.6,1.3,9.7,75,0,0.3,1.1,1.5,1.5,413.3,679.8,81,0,0,1,7.8,679.8,75,0.8,4,33,1
2025-09-05T19:40:00-04:00,2025-09-05 19:40:00,9.3,9.3,0.8,2.1,9.7,51,0,0.3,1.1,1.5,1.5,413.3,679.7,80,0,0,1,7.8,679.7,71,1.2,4,33,1
2025-09-05T19:35:00-04:00,2025-09-05 19:35:00,9.4,9.1,1.4,2,9.7,78,0,0.3,1.1,1.5,1.5,413.3,679.8,80,0,0,1,7.8,679.8,25,1.1,4,33,1
2025-09-05T19:30:00-04:00,2025-09-05 19:30:00,9.5,9.5,0.9,1.9,9.7,349,0,0.3,1.1,1.5,1.5,413.3,679.5,80,0,0,1,7.8,679.5,24,1.2,4,33,1
2025-09-05T19:25:00-04:00,2025-09-05 19:25:00,9.7,9.7,0,1.6,9.7,310,0,0.3,1.1,1.5,1.5,413.3,679.5,79,0,0,6,7.9,679.5,310,1.2,25,33,1
2025-09-05T19:20:00-04:00,2025-09-05 19:20:00,9.8,9.8,0.9,1.9,9.7,19,0,0.3,1.1,1.5,1.5,413.3,679.4,79,0,0,6,7.9,679.4,44,0.8,25,33,1
2025-09-05T19:15:00-04:00,2025-09-05 19:15:00,10,10,0.6,2,9.7,9,0,0.3,1.1,1.5,1.5,413.3,679.4,78,0,0,2,7.8,679.4,332,0.8,8,33,1
2025-09-05T19:10:00-04:00,2025-09-05 19:10:00,10.2,10.2,0.8,1.8,9.7,324,0,0.3,1.1,1.5,1.5,413.3,679.1,77,0,0,2,7.8,679.1,335,1.1,8,33,1
2025-09-05T19:05:00-04:00,2025-09-05 19:05:00,10.4,10.4,1.2,1.9,9.7,357,0,0.3,1.1,1.5,1.5,413.3,679.2,76,0,0,1,7.8,679.2,344,1.1,4,33,1
