Fecha,Hora,Relative Pressure (hPa),Outdoor Temperature (°C)
2025-09-04,00:00:00,681.5,9.1
2025-09-04,00:05:00,681.6,9.1
2025-09-04,00:10:00,681.6,9.1
2025-09-04,00:15:00,681.4,9.1
2025-09-04,00:20:00,681.2,9.1
2025-09-04,00:25:00,681.3,9.1
2025-09-04,00:30:00,681.2,9.1
2025-09-04,00:35:00,681.2,9.1
2025-09-04,00:40:00,680.9,9.0
2025-09-04,00:45:00,681.1,9.0
2025-09-04,00:50:00,681.0,9.0
2025-09-04,00:55:00,681.0,8.9
2025-09-04,01:00:00,681.0,8.9
2025-09-04,01:05:00,681.0,9.0
2025-09-04,01:10:00,680.8,9.0
2025-09-04,01:15:00,680.8,8.9
2025-09-04,01:20:00,680.8,8.9
2025-09-04,01:25:00,680.9,9.0
2025-09-04,01:30:00,680.9,9.1
2025-09-04,01:35:00,680.8,9.0
2025-09-04,01:40:00,681.0,9.0
2025-09-04,01:45:00,680.8,8.9
2025-09-04,01:50:00,680.8,8.9
2025-09-04,01:55:00,680.7,8.9
2025-09-04,02:00:00,680.9,9.0
2025-09-04,02:05:00,680.7,8.9
2025-09-04,02:10:00,680.7,8.8
2025-09-04,02:15:00,680.7,8.8
2025-09-04,02:20:00,680.8,8.7
2025-09-04,02:25:00,680.8,8.7
2025-09-04,02:30:00,680.8,8.7
2025-09-04,02:35:00,681.0,8.7
2025-09-04,02:40:00,680.8,8.8
2025-09-04,02:45:00,680.9,8.7
2025-09-04,02:50:00,681.0,8.7
2025-09-04,02:55:00,680.8,8.7
2025-09-04,03:00:00,680.7,8.7
2025-09-04,03:05:00,680.6,8.8
2025-09-04,03:10:00,680.7,8.8
2025-09-04,03:15:00,680.8,8.8
2025-09-04,03:20:00,680.8,8.9
2025-09-04,03:25:00,680.7,8.9
2025-09-04,03:30:00,680.6,9.0
2025-09-04,03:35:00,680.5,9.1
2025-09-04,03:40:00,680.6,9.1
2025-09-04,03:45:00,680.7,9.1
2025-09-04,03:50:00,680.8,9.0
2025-09-04,03:55:00,680.4,8.8
2025-09-04,04:00:00,680.5,8.8
2025-09-04,04:05:00,680.5,8.8
2025-09-04,04:10:00,680.6,8.8
2025-09-04,04:15:00,680.5,8.7
2025-09-04,04:20:00,680.6,8.7
2025-09-04,04:25:00,680.4,8.6
2025-09-04,04:30:00,680.5,8.6
2025-09-04,04:35:00,680.5,8.6
2025-09-04,04:40:00,680.5,8.5
2025-09-04,04:45:00,680.5,8.4
2025-09-04,04:50:00,680.5,8.3
2025-09-04,04:55:00,680.6,8.2
2025-09-04,05:00:00,680.5,8.2
2025-09-04,05:05:00,680.6,8.1
2025-09-04,05:10:00,680.5,8.1
2025-09-04,05:15:00,680.7,8.1
2025-09-04,05:20:00,680.7,8.1
2025-09-04,05:25:00,680.8,8.1
2025-09-04,05:30:00,680.7,7.9
2025-09-04,05:35:00,680.8,7.9
2025-09-04,05:40:00,680.9,7.8
2025-09-04,05:45:00,680.7,7.7
2025-09-04,05:50:00,681.0,7.7
2025-09-04,05:55:00,681.0,7.7
2025-09-04,06:00:00,681.2,7.6
2025-09-04,06:05:00,681.0,7.6
