Channel	Net_Counts
0	0
1	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	2
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	1
54	0
55	1
56	0
57	0
58	1
59	0
60	1
61	2
62	0
63	0
64	0
65	2
66	0
67	0
68	2
69	0
70	0
71	1
72	0
73	0
74	0
75	2
76	0
77	2
78	1
79	0
80	0
81	2
82	1
83	2
84	0
85	3
86	0
87	2
88	0
89	0
90	0
91	2
92	3
93	3
94	0
95	0
96	1
97	1
98	3
99	0
100	2
101	4
102	0
103	0
104	0
105	5
106	0
107	0
108	0
109	1
110	1
111	0
112	0
113	2
114	0
115	2
116	0
117	0
118	0
119	0
120	1
121	1
122	1
123	0
124	2
125	2
126	2
127	4
128	1
129	0
130	0
131	0
132	0
133	1
134	0
135	0
136	1
137	23
138	81
139	26
140	84
141	88
142	61
143	39
144	47
145	109
146	60
147	50
148	72
149	13
150	0
151	46
152	2
153	20
154	30
155	32
156	12
157	53
158	133
159	20
160	122
161	149
162	41
163	84
164	78
165	33
166	66
167	49
168	150
169	181
170	113
171	27
172	96
173	73
174	69
175	48
176	96
177	14
178	50
179	74
180	62
181	65
182	27
183	0
184	117
185	0
186	0
187	35
188	54
189	42
190	114
191	84
192	20
193	27
194	79
195	7
196	0
197	32
198	43
199	112
200	47
201	76
202	19
203	32
204	48
205	45
206	80
207	30
208	0
209	25
210	0
211	16
212	0
213	0
214	45
215	15
216	22
217	68
218	0
219	0
220	0
221	61
222	9
223	67
224	45
225	18
226	0
227	68
228	51
229	55
230	0
231	63
232	0
233	4
234	0
235	75
236	35
237	36
238	0
239	39
240	0
241	0
242	61
243	38
244	0
245	0
246	0
247	103
248	0
249	0
250	17
251	18
252	0
253	3
254	0
255	18
256	5
257	46
258	0
259	42
260	11
261	8
262	26
263	46
264	0
265	0
266	30
267	29
268	63
269	37
270	0
271	65
272	34
273	28
274	16
275	65
276	17
277	54
278	62
279	0
280	10
281	38
282	69
283	3
284	0
285	24
286	0
287	19
288	15
289	40
290	0
291	0
292	34
293	18
294	29
295	0
296	17
297	0
298	56
299	36
300	0
301	37
302	0
303	27
304	55
305	77
306	0
307	11
308	26
309	52
310	0
311	9
312	24
313	0
314	0
315	23
316	0
317	13
318	115
319	7
320	0
321	66
322	5
323	46
324	0
325	100
326	0
327	116
328	27
329	10
330	14
331	2
332	0
333	5
334	0
335	63
336	39
337	4
338	16
339	68
340	40
341	66
342	37
343	0
344	26
345	47
346	0
347	70
348	13
349	0
350	16
351	32
352	40
353	1
354	0
355	53
356	10
357	0
358	52
359	56
360	15
361	55
362	85
363	38
364	41
365	8
366	36
367	11
368	15
369	57
370	96
371	31
372	0
373	11
374	20
375	57
376	0
377	32
378	53
379	78
380	5
381	48
382	42
383	39
384	43
385	77
386	55
387	30
388	48
389	18
390	27
391	18
392	42
393	59
394	0
395	0
396	21
397	69
398	28
399	66
400	6
401	0
402	42
403	0
404	29
405	38
406	106
407	25
408	51
409	10
410	40
411	73
412	0
413	48
414	1
415	32
416	66
417	2
418	74
419	12
420	12
421	23
422	50
423	59
424	37
425	59
426	79
427	34
428	31
429	0
430	0
431	62
432	37
433	0
434	64
435	53
436	80
437	2
438	28
439	20
440	20
441	0
442	11
443	63
444	0
445	94
446	39
447	77
448	28
449	22
450	56
451	54
452	21
453	38
454	70
455	31
456	64
457	46
458	68
459	30
460	51
461	57
462	77
463	80
464	69
465	54
466	26
467	90
468	69
469	30
470	30
471	78
472	96
473	69
474	28
475	50
476	46
477	26
478	31
479	28
480	36
481	42
482	10
483	47
484	21
485	16
486	37
487	55
488	54
489	60
490	49
491	49
492	99
493	69
494	92
495	58
496	53
497	47
498	62
499	17
500	20
501	44
502	40
503	45
504	61
505	24
506	96
507	45
508	62
509	75
510	62
511	109
512	40
513	80
514	69
515	16
516	45
517	11
518	90
519	32
520	48
521	41
522	63
523	27
524	49
525	17
526	32
527	42
528	77
529	54
