Channel	Net_Counts
0	0
1	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	1
46	0
47	0
48	0
49	0
50	0
51	0
52	1
53	0
54	0
55	0
56	1
57	1
58	0
59	0
60	0
61	0
62	1
63	1
64	0
65	0
66	0
67	0
68	0
69	1
70	1
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	1
80	0
81	2
82	1
83	0
84	1
85	2
86	0
87	2
88	2
89	0
90	0
91	3
92	1
93	1
94	1
95	0
96	0
97	0
98	0
99	1
100	0
101	1
102	0
103	0
104	0
105	1
106	0
107	0
108	1
109	1
110	3
111	1
112	1
113	0
114	1
115	1
116	0
117	0
118	0
119	1
120	0
121	1
122	0
123	1
124	1
125	1
126	0
127	0
128	0
129	0
130	0
131	2
132	0
133	0
134	2
135	1
136	1
137	6
138	27
139	0
140	9
141	1
142	0
143	0
144	0
145	0
146	16
147	0
148	0
149	0
150	0
151	42
152	0
153	16
154	0
155	40
156	0
157	0
158	0
159	0
160	118
161	100
162	55
163	0
164	8
165	0
166	31
167	1
168	79
169	19
170	100
171	0
172	41
173	57
174	89
175	0
176	33
177	0
178	0
179	0
180	1
181	29
182	2
183	26
184	32
185	0
186	0
187	25
188	14
189	18
190	28
191	9
192	14
193	0
194	79
195	0
196	0
197	0
198	0
199	0
200	14
201	0
202	0
203	0
204	35
205	36
206	12
207	0
208	0
209	0
210	35
211	0
212	0
213	0
214	15
215	0
216	0
217	12
218	0
219	0
220	0
221	27
222	0
223	22
224	0
225	0
226	0
227	25
228	0
229	47
230	0
231	0
232	0
233	1
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	10
242	0
243	16
244	0
245	0
246	6
247	3
248	0
249	0
250	0
251	0
252	4
253	0
254	0
255	0
256	26
257	7
258	0
259	24
260	0
261	0
262	23
263	15
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	25
272	0
273	0
274	26
275	4
276	0
277	5
278	7
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	2
288	0
289	0
290	0
291	0
292	0
293	7
294	0
295	7
296	13
297	0
298	16
299	0
300	0
301	1
302	0
303	71
304	21
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	17
313	0
314	0
315	28
316	0
317	0
318	58
319	76
320	0
321	0
322	0
323	41
324	0
325	46
326	0
327	12
328	0
329	0
330	2
331	0
332	0
333	11
334	5
335	26
336	6
337	7
338	52
339	0
340	0
341	0
342	0
343	0
344	20
345	39
346	0
347	0
348	0
349	9
350	34
351	0
352	5
353	0
354	0
355	0
356	1
357	0
358	7
359	26
360	5
361	0
362	42
363	4
364	0
365	13
366	11
367	2
368	41
369	0
370	12
371	0
372	0
373	0
374	0
375	32
376	15
377	12
378	4
379	41
380	9
381	0
382	20
383	4
384	22
385	0
386	0
387	0
388	0
389	5
390	0
391	0
392	0
393	16
394	9
395	0
396	0
397	0
398	0
399	33
400	0
401	28
402	47
403	0
404	18
405	0
406	42
407	24
408	0
409	0
410	15
411	0
412	0
413	2
414	13
415	29
416	10
417	0
418	0
419	0
420	19
421	0
422	24
423	54
424	0
425	37
426	30
427	6
428	0
429	0
430	0
431	68
432	19
433	23
434	53
435	27
436	14
437	5
438	1
439	0
440	5
441	38
442	14
443	29
444	2
445	44
446	39
447	38
448	0
449	11
450	0
451	45
452	0
453	55
454	32
455	0
456	29
457	2
458	12
459	34
460	0
461	20
462	23
463	0
464	0
465	11
466	35
467	46
468	31
469	31
470	32
471	0
472	43
473	25
474	19
475	33
476	0
477	24
478	14
479	0
480	14
481	0
482	36
483	53
484	52
485	21
486	36
487	0
488	35
489	18
490	0
491	22
492	18
493	33
494	15
495	36
496	27
497	0
498	0
499	48
500	0
501	7
502	24
503	0
504	17
505	22
506	23
507	26
508	24
509	38
510	13
511	39
512	27
513	0
514	35
515	17
516	0
517	4
518	44
519	18
520	0
521	0
522	21
523	0
524	30
525	23
526	15
527	35
528	38
529	0
