Channel	Net_Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	1
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	2
49	0
50	1
51	2
52	0
53	1
54	2
55	1
56	0
57	0
58	0
59	0
60	3
61	1
62	1
63	2
64	2
65	0
66	1
67	1
68	0
69	2
70	3
71	0
72	3
73	1
74	1
75	2
76	1
77	3
78	3
79	2
80	1
81	0
82	3
83	1
84	4
85	2
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	4
96	0
97	0
98	1
99	1
100	0
101	0
102	1
103	1
104	2
105	0
106	0
107	1
108	1
109	2
110	0
111	0
112	1
113	2
114	1
115	0
116	1
117	0
118	0
119	0
120	0
121	1
122	0
123	1
124	0
125	1
126	1
127	1
128	3
129	0
130	1
131	0
132	1
133	0
134	2
135	2
136	2
137	33
138	276
139	425
140	200
141	239
142	173
143	175
144	229
145	178
146	256
147	258
148	374
149	281
150	371
151	315
152	407
153	467
154	481
155	400
156	465
157	457
158	491
159	512
160	431
161	405
162	385
163	494
164	388
165	277
166	305
167	326
168	143
169	239
170	173
171	269
172	197
173	181
174	172
175	187
176	171
177	88
178	140
179	114
180	222
181	107
182	145
183	105
184	186
185	132
186	143
187	139
188	194
189	186
190	245
191	194
192	82
193	146
194	222
195	222
196	220
197	237
198	160
199	230
200	200
201	259
202	236
203	244
204	198
205	170
206	201
207	267
208	283
209	264
210	211
211	285
212	311
213	282
214	271
215	273
216	292
217	322
218	322
219	280
220	340
221	282
222	277
223	257
224	379
225	281
226	290
227	320
228	289
229	266
230	269
231	385
232	307
233	272
234	255
235	273
236	339
237	271
238	264
239	236
240	224
241	186
242	289
243	283
244	311
245	282
246	219
247	275
248	325
249	265
250	302
251	330
252	307
253	251
254	288
255	198
256	246
257	258
258	272
259	244
260	208
261	249
262	260
263	197
264	330
265	230
266	262
267	229
268	291
269	220
270	178
271	254
272	220
273	282
274	287
275	216
276	207
277	241
278	198
279	236
280	244
281	235
282	199
283	187
284	229
285	203
286	219
287	148
288	147
289	197
290	158
291	189
292	199
293	163
294	240
295	168
296	192
297	283
298	233
299	204
300	267
301	216
302	217
303	201
304	175
305	219
306	197
307	197
308	194
309	179
310	183
311	127
312	199
313	223
314	164
315	177
316	165
317	166
318	160
319	192
320	218
321	224
322	101
323	153
324	201
325	186
326	140
327	162
328	99
329	110
330	120
331	184
332	149
333	150
334	128
335	136
336	130
337	126
338	92
339	127
340	121
341	100
342	112
343	127
344	139
345	87
346	162
347	94
348	144
349	171
350	150
351	129
352	194
353	145
354	213
355	168
356	154
357	179
358	206
359	200
360	271
361	295
362	271
363	281
364	305
365	334
366	306
367	302
368	371
369	378
370	460
371	389
372	491
373	408
374	488
375	466
376	495
377	525
378	449
379	550
380	515
381	568
382	577
383	629
384	598
385	605
386	597
387	644
388	651
389	597
390	621
391	666
392	662
393	769
394	741
395	631
396	734
397	714
398	745
399	729
400	798
401	803
402	898
403	879
404	850
405	913
406	900
407	986
408	907
409	1042
410	1028
411	1027
412	1059
413	1134
414	1079
415	1089
416	1179
417	1135
418	1107
419	1180
420	1171
421	1084
422	1108
423	1115
424	1116
425	1160
426	1119
427	1151
428	1100
429	1103
430	1124
431	1032
432	1100
433	1033
434	991
435	938
436	847
437	891
438	837
439	805
440	754
441	788
442	723
443	674
444	639
445	591
446	566
447	571
448	497
449	583
450	503
451	553
452	525
453	474
454	525
455	524
456	531
457	544
458	546
459	671
460	681
461	675
462	740
463	790
464	806
465	854
466	908
467	1061
468	1055
469	1093
470	1156
471	1093
472	1295
473	1474
474	1474
475	1577
476	1622
477	1808
478	1756
479	1949
480	2029
481	2117
482	2154
483	2289
484	2455
485	2443
486	2627
487	2496
488	2665
489	2750
490	2750
491	2759
492	2890
493	2915
494	2937
495	2999
496	3033
497	3088
498	3020
499	3052
500	2932
501	3098
502	2936
503	2977
504	2914
505	2906
506	2894
507	2825
508	2805
509	2746
510	2658
511	2477
512	2563
