Channel	Net_Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	1
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	4
69	0
70	0
71	0
72	1
73	1
74	0
75	0
76	2
77	0
78	0
79	2
80	2
81	0
82	0
83	0
84	2
85	0
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	1
106	0
107	1
108	0
109	0
110	0
111	0
112	0
113	0
114	1
115	0
116	0
117	0
118	0
119	1
120	1
121	1
122	0
123	0
124	0
125	1
126	0
127	0
128	0
129	0
130	0
131	1
132	0
133	2
134	0
135	1
136	3
137	27
138	222
139	194
140	12
141	0
142	7
143	0
144	9
145	2
146	9
147	6
148	30
149	69
150	22
151	0
152	44
153	31
154	0
155	29
156	17
157	0
158	0
159	0
160	0
161	0
162	6
163	0
164	0
165	0
166	29
167	8
168	0
169	2
170	26
171	20
172	48
173	0
174	22
175	28
176	0
177	52
178	105
179	0
180	42
181	45
182	29
183	0
184	0
185	10
186	5
187	49
188	0
189	45
190	11
191	0
192	17
193	0
194	0
195	0
196	34
197	48
198	8
199	6
200	66
201	0
202	47
203	0
204	32
205	16
206	4
207	36
208	67
209	0
210	0
211	0
212	9
213	0
214	0
215	34
216	46
217	15
218	63
219	25
220	54
221	0
222	0
223	0
224	10
225	0
226	1
227	19
228	0
229	25
230	0
231	24
232	33
233	39
234	1
235	34
236	21
237	0
238	27
239	0
240	0
241	0
242	27
243	9
244	74
245	24
246	0
247	0
248	46
249	52
250	0
251	47
252	20
253	22
254	27
255	0
256	0
257	0
258	29
259	26
260	83
261	0
262	0
263	6
264	4
265	0
266	10
267	0
268	0
269	17
270	0
271	19
272	0
273	38
274	0
275	0
276	1
277	0
278	0
279	6
280	44
281	53
282	16
283	0
284	68
285	0
286	30
287	0
288	0
289	44
290	18
291	26
292	36
293	0
294	20
295	0
296	0
297	15
298	23
299	0
300	121
301	10
302	40
303	61
304	42
305	0
306	60
307	0
308	45
309	7
310	67
311	11
312	22
313	0
314	2
315	15
316	46
317	24
318	0
319	27
320	18
321	0
322	11
323	0
324	47
325	7
326	0
327	0
328	0
329	52
330	43
331	8
332	64
333	40
334	53
335	31
336	33
337	56
338	0
339	23
340	21
341	15
342	9
343	0
344	47
345	0
346	16
347	6
348	0
349	0
350	0
351	13
352	80
353	0
354	1
355	58
356	7
357	0
358	48
359	19
360	0
361	29
362	20
363	41
364	8
365	0
366	8
367	0
368	58
369	7
370	34
371	0
372	73
373	0
374	62
375	27
376	0
377	28
378	0
379	35
380	41
381	12
382	0
383	0
384	7
385	20
386	20
387	62
388	41
389	37
390	51
391	35
392	11
393	38
394	36
395	0
396	41
397	26
398	43
399	0
400	22
401	56
402	19
403	29
404	9
405	53
406	0
407	52
408	7
409	7
410	60
411	40
412	27
413	19
414	33
415	35
416	62
417	8
418	23
419	28
420	43
421	0
422	20
423	0
424	36
425	0
426	14
427	28
428	27
429	16
430	0
431	38
432	47
433	22
434	26
435	73
436	16
437	31
438	0
439	11
440	12
441	26
442	7
443	52
444	21
445	4
446	50
447	38
448	42
449	9
450	7
451	0
452	68
453	24
454	40
455	60
456	18
457	35
458	6
459	39
460	41
461	16
462	33
463	24
464	0
465	58
466	16
467	43
468	21
469	40
470	50
471	0
472	0
473	41
474	10
475	0
476	40
477	19
478	14
479	2
480	0
481	24
482	23
483	26
484	40
485	24
486	32
487	0
488	2
489	35
490	25
491	25
492	16
493	0
494	21
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	36
503	25
504	0
505	9
506	0
507	4
508	0
509	0
510	2
511	14
512	0
513	4
514	3
515	34
516	13
517	24
518	0
519	5
520	0
521	0
522	8
523	3
524	0
525	4
526	1
527	0
528	0
529	0
530	24
