Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	104
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	305.19
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:26:51
End Time:	enero 01, 2002, 12:31:56
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	34538	-550	2	341

Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	0
9	9.0	0
10	10.0	0
11	11.0	0
12	12.0	0
13	13.0	0
14	14.0	0
15	15.0	0
16	16.0	0
17	17.0	0
18	18.0	0
19	19.0	0
20	20.0	0
21	21.0	0
22	22.0	0
23	23.0	0
24	24.0	0
25	25.0	0
26	26.0	0
27	27.0	0
28	28.0	0
29	29.0	0
30	30.0	0
31	31.0	0
32	32.0	0
33	33.0	0
34	34.0	0
35	35.0	0
36	36.0	0
37	37.0	0
38	38.0	0
39	39.0	0
40	40.0	0
41	41.0	0
42	42.0	0
43	43.0	0
44	44.0	0
45	45.0	0
46	46.0	0
47	47.0	0
48	48.0	0
49	49.0	0
50	50.0	1
51	51.0	0
52	52.0	0
53	53.0	0
54	54.0	0
55	55.0	0
56	56.0	1
57	57.0	1
58	58.0	0
59	59.0	0
60	60.0	0
61	61.0	0
62	62.0	1
63	63.0	1
64	64.0	0
65	65.0	0
66	66.0	0
67	67.0	0
68	68.0	0
69	69.0	1
70	70.0	0
71	71.0	0
72	72.0	0
73	73.0	1
74	74.0	0
75	75.0	0
76	76.0	1
77	77.0	1
78	78.0	1
79	79.0	0
80	80.0	0
81	81.0	3
82	82.0	2
83	83.0	1
84	84.0	1
85	85.0	1
86	86.0	0
87	87.0	1
88	88.0	0
89	89.0	1
90	90.0	1
91	91.0	1
92	92.0	1
93	93.0	0
94	94.0	1
95	95.0	1
96	96.0	0
97	97.0	0
98	98.0	2
99	99.0	1
100	100.0	2
101	101.0	0
102	102.0	0
103	103.0	1
104	104.0	2
105	105.0	3
106	106.0	1
107	107.0	2
108	108.0	2
109	109.0	0
110	110.0	0
111	111.0	1
112	112.0	2
113	113.0	0
114	114.0	1
115	115.0	1
116	116.0	1
117	117.0	1
118	118.0	1
119	119.0	1
120	120.0	0
121	121.0	1
122	122.0	2
123	123.0	1
124	124.0	2
125	125.0	0
126	126.0	0
127	127.0	2
128	128.0	0
129	129.0	1
130	130.0	0
131	131.0	0
132	132.0	2
133	133.0	0
134	134.0	2
135	135.0	2
136	136.0	9
137	137.0	67
138	138.0	322
139	139.0	574
140	140.0	647
141	141.0	698
142	142.0	639
143	143.0	709
144	144.0	668
145	145.0	618
146	146.0	634
147	147.0	708
148	148.0	689
149	149.0	708
150	150.0	759
151	151.0	776
152	152.0	768
153	153.0	816
154	154.0	721
155	155.0	707
156	156.0	859
157	157.0	858
158	158.0	788
159	159.0	860
160	160.0	829
161	161.0	865
162	162.0	856
163	163.0	831
164	164.0	874
165	165.0	873
166	166.0	862
167	167.0	909
168	168.0	896
169	169.0	874
170	170.0	893
171	171.0	930
172	172.0	868
173	173.0	900
174	174.0	900
175	175.0	854
176	176.0	891
177	177.0	926
178	178.0	866
179	179.0	898
180	180.0	893
181	181.0	902
182	182.0	870
183	183.0	821
184	184.0	875
185	185.0	838
186	186.0	847
187	187.0	858
188	188.0	926
189	189.0	843
190	190.0	842
191	191.0	831
192	192.0	787
193	193.0	916
194	194.0	854
195	195.0	888
196	196.0	866
197	197.0	835
198	198.0	844
199	199.0	857
200	200.0	921
201	201.0	896
202	202.0	874
203	203.0	862
204	204.0	920
205	205.0	853
206	206.0	886
207	207.0	851
208	208.0	850
209	209.0	884
210	210.0	866
211	211.0	894
212	212.0	894
213	213.0	831
214	214.0	880
215	215.0	875
216	216.0	889
217	217.0	876
218	218.0	833
219	219.0	851
220	220.0	876
221	221.0	838
222	222.0	795
223	223.0	828
224	224.0	802
225	225.0	837
226	226.0	845
227	227.0	877
228	228.0	839
229	229.0	840
230	230.0	823
231	231.0	849
232	232.0	847
233	233.0	851
234	234.0	834
235	235.0	862
236	236.0	862
237	237.0	808
238	238.0	785
239	239.0	825
240	240.0	827
241	241.0	826
242	242.0	763
243	243.0	793
244	244.0	795
245	245.0	853
246	246.0	774
247	247.0	786
248	248.0	809
249	249.0	815
250	250.0	810
251	251.0	785
252	252.0	771
253	253.0	785
254	254.0	828
255	255.0	762
256	256.0	802
257	257.0	817
258	258.0	775
259	259.0	764
260	260.0	815
261	261.0	839
262	262.0	754
263	263.0	754
264	264.0	810
265	265.0	831
266	266.0	772
267	267.0	790
268	268.0	794
269	269.0	780
270	270.0	802
271	271.0	768
272	272.0	744
273	273.0	768
274	274.0	770
275	275.0	707
276	276.0	788
277	277.0	816
278	278.0	742
279	279.0	722
280	280.0	725
281	281.0	796
282	282.0	739
283	283.0	797
284	284.0	747
285	285.0	782
286	286.0	725
287	287.0	711
288	288.0	700
289	289.0	760
290	290.0	734
291	291.0	734
292	292.0	725
293	293.0	784
294	294.0	688
295	295.0	776
296	296.0	700
297	297.0	658
298	298.0	715
299	299.0	701
300	300.0	685
301	301.0	707
302	302.0	679
303	303.0	704
304	304.0	685
305	305.0	670
306	306.0	700
307	307.0	698
308	308.0	719
309	309.0	712
310	310.0	662
311	311.0	705
312	312.0	714
313	313.0	675
314	314.0	675
315	315.0	677
316	316.0	676
317	317.0	692
318	318.0	646
319	319.0	659
320	320.0	640
321	321.0	663
322	322.0	658
323	323.0	679
324	324.0	636
325	325.0	653
326	326.0	687
327	327.0	632
328	328.0	617
329	329.0	638
330	330.0	679
331	331.0	632
332	332.0	599
333	333.0	657
334	334.0	580
335	335.0	639
336	336.0	604
337	337.0	633
338	338.0	619
339	339.0	608
340	340.0	613
341	341.0	607
342	342.0	618
343	343.0	599
344	344.0	557
345	345.0	624
346	346.0	521
347	347.0	624
348	348.0	587
349	349.0	578
350	350.0	624
351	351.0	584
352	352.0	554
353	353.0	591
354	354.0	578
355	355.0	588
356	356.0	636
357	357.0	573
358	358.0	557
359	359.0	580
360	360.0	524
361	361.0	575
362	362.0	555
363	363.0	584
364	364.0	568
365	365.0	542
366	366.0	555
367	367.0	559
368	368.0	536
369	369.0	561
370	370.0	542
371	371.0	541
372	372.0	585
373	373.0	510
374	374.0	562
