Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	104
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	306.58
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:40:56
End Time:	enero 01, 2002, 12:46:03
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	35980	240	2	342

Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	0
9	9.0	0
10	10.0	0
11	11.0	0
12	12.0	0
13	13.0	0
14	14.0	0
15	15.0	0
16	16.0	0
17	17.0	0
18	18.0	0
19	19.0	0
20	20.0	0
21	21.0	0
22	22.0	0
23	23.0	0
24	24.0	0
25	25.0	0
26	26.0	0
27	27.0	0
28	28.0	0
29	29.0	0
30	30.0	0
31	31.0	0
32	32.0	0
33	33.0	0
34	34.0	0
35	35.0	0
36	36.0	0
37	37.0	0
38	38.0	0
39	39.0	0
40	40.0	0
41	41.0	0
42	42.0	0
43	43.0	0
44	44.0	0
45	45.0	2
46	46.0	0
47	47.0	0
48	48.0	0
49	49.0	0
50	50.0	0
51	51.0	0
52	52.0	0
53	53.0	1
54	54.0	0
55	55.0	1
56	56.0	0
57	57.0	0
58	58.0	1
59	59.0	0
60	60.0	1
61	61.0	2
62	62.0	0
63	63.0	0
64	64.0	0
65	65.0	2
66	66.0	0
67	67.0	0
68	68.0	2
69	69.0	0
70	70.0	0
71	71.0	2
72	72.0	0
73	73.0	1
74	74.0	0
75	75.0	2
76	76.0	0
77	77.0	2
78	78.0	1
79	79.0	1
80	80.0	0
81	81.0	2
82	82.0	1
83	83.0	2
84	84.0	0
85	85.0	3
86	86.0	1
87	87.0	3
88	88.0	0
89	89.0	1
90	90.0	1
91	91.0	3
92	92.0	3
93	93.0	4
94	94.0	0
95	95.0	1
96	96.0	2
97	97.0	1
98	98.0	4
99	99.0	0
100	100.0	2
101	101.0	4
102	102.0	0
103	103.0	1
104	104.0	2
105	105.0	6
106	106.0	1
107	107.0	1
108	108.0	0
109	109.0	1
110	110.0	1
111	111.0	0
112	112.0	1
113	113.0	3
114	114.0	0
115	115.0	2
116	116.0	0
117	117.0	1
118	118.0	0
119	119.0	0
120	120.0	1
121	121.0	1
122	122.0	1
123	123.0	0
124	124.0	2
125	125.0	2
126	126.0	2
127	127.0	4
128	128.0	2
129	129.0	1
130	130.0	0
131	131.0	0
132	132.0	1
133	133.0	2
134	134.0	0
135	135.0	0
136	136.0	2
137	137.0	68
138	138.0	366
139	139.0	623
140	140.0	713
141	141.0	758
142	142.0	722
143	143.0	711
144	144.0	723
145	145.0	785
146	146.0	740
147	147.0	760
148	148.0	791
149	149.0	743
150	150.0	728
151	151.0	768
152	152.0	768
153	153.0	771
154	154.0	818
155	155.0	769
156	156.0	807
157	157.0	847
158	158.0	898
159	159.0	858
160	160.0	895
161	161.0	947
162	162.0	898
163	163.0	953
164	164.0	913
165	165.0	909
166	166.0	925
167	167.0	940
168	168.0	991
169	169.0	1036
170	170.0	955
171	171.0	908
172	172.0	969
173	173.0	953
174	174.0	922
175	175.0	936
176	176.0	949
177	177.0	915
178	178.0	915
179	179.0	959
180	180.0	908
181	181.0	922
182	182.0	903
183	183.0	869
184	184.0	957
185	185.0	870
186	186.0	885
187	187.0	880
188	188.0	912
189	189.0	910
190	190.0	964
191	191.0	939
192	192.0	908
193	193.0	921
194	194.0	917
195	195.0	901
196	196.0	910
197	197.0	954
198	198.0	916
199	199.0	971
200	200.0	915
201	201.0	913
202	202.0	894
203	203.0	920
204	204.0	919
205	205.0	921
206	206.0	922
207	207.0	878
208	208.0	889
209	209.0	913
210	210.0	843
211	211.0	877
212	212.0	834
213	213.0	860
214	214.0	888
215	215.0	903
216	216.0	894
217	217.0	882
218	218.0	844
219	219.0	846
220	220.0	846
221	221.0	902
222	222.0	851
223	223.0	897
224	224.0	883
225	225.0	877
226	226.0	848
227	227.0	882
228	228.0	868
229	229.0	886
230	230.0	838
231	231.0	900
232	232.0	815
233	233.0	842
234	234.0	819
235	235.0	875
236	236.0	862
237	237.0	879
238	238.0	787
239	239.0	850
240	240.0	818
241	241.0	821
242	242.0	864
243	243.0	865
244	244.0	841
245	245.0	837
246	246.0	822
247	247.0	908
248	248.0	837
249	249.0	818
250	250.0	820
251	251.0	830
252	252.0	811
253	253.0	810
254	254.0	817
255	255.0	811
256	256.0	800
257	257.0	826
258	258.0	746
259	259.0	827
260	260.0	811
261	261.0	787
262	262.0	790
263	263.0	827
264	264.0	754
265	265.0	783
266	266.0	814
267	267.0	777
268	268.0	826
269	269.0	808
270	270.0	777
271	271.0	789
272	272.0	812
273	273.0	818
274	274.0	763
275	275.0	804
276	276.0	799
277	277.0	816
278	278.0	808
279	279.0	755
280	280.0	788
281	281.0	801
282	282.0	865
283	283.0	759
284	284.0	697
285	285.0	788
286	286.0	747
287	287.0	741
288	288.0	771
289	289.0	781
290	290.0	750
291	291.0	748
292	292.0	768
293	293.0	755
294	294.0	789
295	295.0	724
296	296.0	719
297	297.0	699
298	298.0	779
299	299.0	725
300	300.0	695
301	301.0	735
302	302.0	671
303	303.0	718
304	304.0	715
305	305.0	765
306	306.0	707
307	307.0	724
308	308.0	732
309	309.0	716
310	310.0	690
311	311.0	688
312	312.0	684
313	313.0	676
314	314.0	664
315	315.0	691
316	316.0	661
317	317.0	674
318	318.0	744
319	319.0	662
320	320.0	637
321	321.0	710
322	322.0	670
323	323.0	716
324	324.0	666
325	325.0	712
326	326.0	648
327	327.0	729
328	328.0	655
329	329.0	662
330	330.0	647
331	331.0	651
332	332.0	621
333	333.0	650
334	334.0	593
335	335.0	691
336	336.0	635
337	337.0	627
338	338.0	591
339	339.0	669
340	340.0	652
341	341.0	668
342	342.0	652
343	343.0	615
344	344.0	606
345	345.0	634
346	346.0	631
347	347.0	669
348	348.0	616
349	349.0	581
350	350.0	609
351	351.0	603
352	352.0	599
353	353.0	601
354	354.0	583
355	355.0	616
356	356.0	593
357	357.0	562
358	358.0	616
359	359.0	615
360	360.0	591
361	361.0	602
362	362.0	601
363	363.0	583
364	364.0	591
365	365.0	571
366	366.0	587
367	367.0	572
368	368.0	546
369	369.0	612
370	370.0	615
371	371.0	576
372	372.0	560
373	373.0	545
374	374.0	570
