Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	0
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	304.07
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:27:42
End Time:	enero 01, 2002, 12:32:47
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	29183	226	10	340

Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	0
9	9.0	0
10	10.0	0
11	11.0	0
12	12.0	0
13	13.0	0
14	14.0	0
15	15.0	0
16	16.0	0
17	17.0	0
18	18.0	0
19	19.0	0
20	20.0	0
21	21.0	0
22	22.0	0
23	23.0	0
24	24.0	0
25	25.0	0
26	26.0	0
27	27.0	0
28	28.0	0
29	29.0	0
30	30.0	0
31	31.0	0
32	32.0	0
33	33.0	0
34	34.0	0
35	35.0	0
36	36.0	0
37	37.0	0
38	38.0	0
39	39.0	0
40	40.0	0
41	41.0	0
42	42.0	0
43	43.0	0
44	44.0	0
45	45.0	0
46	46.0	0
47	47.0	0
48	48.0	0
49	49.0	0
50	50.0	0
51	51.0	0
52	52.0	0
53	53.0	1
54	54.0	1
55	55.0	0
56	56.0	0
57	57.0	0
58	58.0	0
59	59.0	0
60	60.0	0
61	61.0	0
62	62.0	0
63	63.0	0
64	64.0	0
65	65.0	0
66	66.0	0
67	67.0	1
68	68.0	1
69	69.0	1
70	70.0	0
71	71.0	1
72	72.0	0
73	73.0	1
74	74.0	1
75	75.0	1
76	76.0	1
77	77.0	0
78	78.0	0
79	79.0	0
80	80.0	1
81	81.0	2
82	82.0	0
83	83.0	1
84	84.0	0
85	85.0	1
86	86.0	2
87	87.0	3
88	88.0	2
89	89.0	0
90	90.0	1
91	91.0	0
92	92.0	2
93	93.0	2
94	94.0	0
95	95.0	0
96	96.0	2
97	97.0	2
98	98.0	0
99	99.0	1
100	100.0	0
101	101.0	0
102	102.0	0
103	103.0	0
104	104.0	0
105	105.0	0
106	106.0	0
107	107.0	1
108	108.0	0
109	109.0	0
110	110.0	0
111	111.0	0
112	112.0	1
113	113.0	0
114	114.0	0
115	115.0	0
116	116.0	0
117	117.0	0
118	118.0	0
119	119.0	0
120	120.0	0
121	121.0	0
122	122.0	1
123	123.0	1
124	124.0	1
125	125.0	0
126	126.0	0
127	127.0	1
128	128.0	0
129	129.0	1
130	130.0	1
131	131.0	1
132	132.0	0
133	133.0	0
134	134.0	0
135	135.0	0
136	136.0	2
137	137.0	78
138	138.0	508
139	139.0	1150
140	140.0	1374
141	141.0	1363
142	142.0	1381
143	143.0	1343
144	144.0	1336
145	145.0	1411
146	146.0	1424
147	147.0	1323
148	148.0	1299
149	149.0	1339
150	150.0	1292
151	151.0	1362
152	152.0	1315
153	153.0	1323
154	154.0	1249
155	155.0	1300
156	156.0	1240
157	157.0	1359
158	158.0	1243
159	159.0	1213
160	160.0	1266
161	161.0	1268
162	162.0	1268
163	163.0	1254
164	164.0	1211
165	165.0	1287
166	166.0	1220
167	167.0	1210
168	168.0	1269
169	169.0	1220
170	170.0	1202
171	171.0	1168
172	172.0	1205
173	173.0	1207
174	174.0	1172
175	175.0	1148
176	176.0	1156
177	177.0	1157
178	178.0	1113
179	179.0	1154
180	180.0	1113
181	181.0	1173
182	182.0	1123
183	183.0	1159
184	184.0	1110
185	185.0	1133
186	186.0	1096
187	187.0	1068
188	188.0	1093
189	189.0	1127
190	190.0	1051
191	191.0	1093
192	192.0	1059
193	193.0	1081
194	194.0	1028
195	195.0	1050
196	196.0	1012
197	197.0	1000
198	198.0	942
199	199.0	960
200	200.0	990
201	201.0	991
202	202.0	974
203	203.0	956
204	204.0	961
205	205.0	1011
206	206.0	994
207	207.0	1003
208	208.0	951
209	209.0	971
210	210.0	969
211	211.0	967
212	212.0	924
213	213.0	965
214	214.0	920
215	215.0	941
216	216.0	917
217	217.0	881
218	218.0	872
219	219.0	891
220	220.0	847
221	221.0	887
222	222.0	901
223	223.0	836
224	224.0	836
225	225.0	830
226	226.0	877
227	227.0	818
228	228.0	857
229	229.0	826
230	230.0	847
231	231.0	856
232	232.0	814
233	233.0	798
234	234.0	836
235	235.0	782
236	236.0	780
237	237.0	853
238	238.0	788
239	239.0	821
240	240.0	796
241	241.0	802
242	242.0	777
243	243.0	804
244	244.0	757
245	245.0	793
246	246.0	788
247	247.0	793
248	248.0	767
249	249.0	791
250	250.0	728
251	251.0	739
252	252.0	798
253	253.0	752
254	254.0	773
255	255.0	767
256	256.0	761
257	257.0	767
258	258.0	715
259	259.0	694
260	260.0	696
261	261.0	732
262	262.0	707
263	263.0	730
264	264.0	682
265	265.0	733
266	266.0	673
267	267.0	709
268	268.0	684
269	269.0	730
270	270.0	719
271	271.0	656
272	272.0	662
273	273.0	680
274	274.0	648
275	275.0	688
276	276.0	710
277	277.0	726
278	278.0	712
279	279.0	678
280	280.0	628
281	281.0	669
282	282.0	666
283	283.0	623
284	284.0	592
285	285.0	643
286	286.0	665
287	287.0	709
288	288.0	688
289	289.0	630
290	290.0	610
291	291.0	632
292	292.0	625
293	293.0	634
294	294.0	646
295	295.0	665
296	296.0	609
297	297.0	616
298	298.0	605
299	299.0	640
300	300.0	572
301	301.0	577
302	302.0	613
303	303.0	599
304	304.0	601
305	305.0	597
306	306.0	595
307	307.0	626
308	308.0	621
309	309.0	604
310	310.0	587
311	311.0	637
312	312.0	621
313	313.0	598
314	314.0	618
315	315.0	630
316	316.0	592
317	317.0	615
318	318.0	619
319	319.0	607
320	320.0	582
321	321.0	614
322	322.0	642
323	323.0	623
324	324.0	605
325	325.0	625
326	326.0	629
327	327.0	616
328	328.0	603
329	329.0	616
330	330.0	563
331	331.0	617
332	332.0	590
333	333.0	566
334	334.0	545
335	335.0	558
336	336.0	562
337	337.0	549
338	338.0	522
339	339.0	533
340	340.0	546
341	341.0	536
342	342.0	524
343	343.0	510
344	344.0	504
345	345.0	532
346	346.0	488
347	347.0	478
348	348.0	452
349	349.0	499
350	350.0	469
351	351.0	481
352	352.0	406
353	353.0	442
354	354.0	412
355	355.0	456
356	356.0	440
357	357.0	436
358	358.0	396
359	359.0	427
360	360.0	445
361	361.0	396
362	362.0	402
363	363.0	418
364	364.0	453
365	365.0	393
366	366.0	394
