Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	0
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	304.47
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:21:20
End Time:	enero 01, 2002, 12:26:25
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	30659	587	4	340

Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	0
9	9.0	0
10	10.0	0
11	11.0	0
12	12.0	0
13	13.0	0
14	14.0	0
15	15.0	0
16	16.0	0
17	17.0	0
18	18.0	0
19	19.0	0
20	20.0	0
21	21.0	0
22	22.0	0
23	23.0	0
24	24.0	0
25	25.0	0
26	26.0	0
27	27.0	0
28	28.0	0
29	29.0	0
30	30.0	0
31	31.0	0
32	32.0	0
33	33.0	0
34	34.0	0
35	35.0	0
36	36.0	0
37	37.0	0
38	38.0	0
39	39.0	0
40	40.0	0
41	41.0	0
42	42.0	0
43	43.0	0
44	44.0	0
45	45.0	0
46	46.0	0
47	47.0	0
48	48.0	0
49	49.0	0
50	50.0	0
51	51.0	0
52	52.0	0
53	53.0	0
54	54.0	1
55	55.0	1
56	56.0	0
57	57.0	0
58	58.0	0
59	59.0	0
60	60.0	0
61	61.0	0
62	62.0	0
63	63.0	0
64	64.0	0
65	65.0	0
66	66.0	0
67	67.0	0
68	68.0	4
69	69.0	0
70	70.0	0
71	71.0	0
72	72.0	1
73	73.0	1
74	74.0	0
75	75.0	0
76	76.0	2
77	77.0	0
78	78.0	0
79	79.0	2
80	80.0	2
81	81.0	0
82	82.0	0
83	83.0	0
84	84.0	2
85	85.0	0
86	86.0	1
87	87.0	1
88	88.0	0
89	89.0	0
90	90.0	2
91	91.0	0
92	92.0	0
93	93.0	1
94	94.0	0
95	95.0	0
96	96.0	1
97	97.0	1
98	98.0	0
99	99.0	0
100	100.0	0
101	101.0	0
102	102.0	0
103	103.0	0
104	104.0	0
105	105.0	1
106	106.0	0
107	107.0	1
108	108.0	0
109	109.0	0
110	110.0	0
111	111.0	0
112	112.0	0
113	113.0	0
114	114.0	1
115	115.0	1
116	116.0	0
117	117.0	0
118	118.0	0
119	119.0	1
120	120.0	1
121	121.0	1
122	122.0	1
123	123.0	0
124	124.0	0
125	125.0	1
126	126.0	0
127	127.0	0
128	128.0	0
129	129.0	0
130	130.0	0
131	131.0	1
132	132.0	0
133	133.0	2
134	134.0	0
135	135.0	1
136	136.0	4
137	137.0	69
138	138.0	522
139	139.0	1114
140	140.0	1325
141	141.0	1338
142	142.0	1407
143	143.0	1342
144	144.0	1359
145	145.0	1431
146	146.0	1397
147	147.0	1376
148	148.0	1353
149	149.0	1399
150	150.0	1380
151	151.0	1324
152	152.0	1359
153	153.0	1366
154	154.0	1308
155	155.0	1348
156	156.0	1306
157	157.0	1302
158	158.0	1270
159	159.0	1234
160	160.0	1278
161	161.0	1271
162	162.0	1285
163	163.0	1213
164	164.0	1217
165	165.0	1268
166	166.0	1265
167	167.0	1215
168	168.0	1243
169	169.0	1263
170	170.0	1253
171	171.0	1237
172	172.0	1252
173	173.0	1211
174	174.0	1219
175	175.0	1194
176	176.0	1124
177	177.0	1251
178	178.0	1235
179	179.0	1174
180	180.0	1169
181	181.0	1208
182	182.0	1167
183	183.0	1155
184	184.0	1113
185	185.0	1149
186	186.0	1111
187	187.0	1124
188	188.0	1012
189	189.0	1156
190	190.0	1067
191	191.0	1061
192	192.0	1106
193	193.0	1032
194	194.0	1041
195	195.0	1045
196	196.0	1078
197	197.0	1060
198	198.0	1021
199	199.0	1027
200	200.0	1098
201	201.0	978
202	202.0	1040
203	203.0	952
204	204.0	1036
205	205.0	1043
206	206.0	995
207	207.0	1068
208	208.0	1014
209	209.0	951
210	210.0	949
211	211.0	895
212	212.0	955
213	213.0	970
214	214.0	926
215	215.0	977
216	216.0	964
217	217.0	939
218	218.0	937
219	219.0	930
220	220.0	922
221	221.0	860
222	222.0	833
223	223.0	859
224	224.0	868
225	225.0	851
226	226.0	912
227	227.0	895
228	228.0	831
229	229.0	879
230	230.0	852
231	231.0	874
232	232.0	855
233	233.0	862
234	234.0	846
235	235.0	874
236	236.0	835
237	237.0	859
238	238.0	835
239	239.0	799
240	240.0	803
241	241.0	773
242	242.0	818
243	243.0	818
244	244.0	811
245	245.0	800
246	246.0	751
247	247.0	793
248	248.0	815
249	249.0	843
250	250.0	726
251	251.0	798
252	252.0	789
253	253.0	823
254	254.0	775
255	255.0	762
256	256.0	775
257	257.0	756
258	258.0	763
259	259.0	760
260	260.0	822
261	261.0	742
262	262.0	703
263	263.0	768
264	264.0	705
265	265.0	749
266	266.0	710
267	267.0	701
268	268.0	705
269	269.0	741
270	270.0	683
271	271.0	689
272	272.0	692
273	273.0	707
274	274.0	653
275	275.0	680
276	276.0	702
277	277.0	688
278	278.0	691
279	279.0	673
280	280.0	676
281	281.0	709
282	282.0	687
283	283.0	658
284	284.0	697
285	285.0	631
286	286.0	699
287	287.0	635
288	288.0	663
289	289.0	702
290	290.0	652
291	291.0	665
292	292.0	681
293	293.0	618
294	294.0	667
295	295.0	632
296	296.0	616
297	297.0	612
298	298.0	630
299	299.0	626
300	300.0	694
301	301.0	606
302	302.0	641
303	303.0	654
304	304.0	672
305	305.0	609
306	306.0	667
307	307.0	594
308	308.0	654
309	309.0	633
310	310.0	677
311	311.0	649
312	312.0	632
313	313.0	611
314	314.0	623
315	315.0	616
316	316.0	659
317	317.0	643
318	318.0	602
319	319.0	639
320	320.0	610
321	321.0	609
322	322.0	652
323	323.0	589
324	324.0	637
325	325.0	641
326	326.0	634
327	327.0	570
328	328.0	629
329	329.0	676
330	330.0	641
331	331.0	603
332	332.0	653
333	333.0	635
334	334.0	623
335	335.0	599
336	336.0	588
337	337.0	633
338	338.0	531
339	339.0	585
340	340.0	595
341	341.0	547
342	342.0	548
343	343.0	522
344	344.0	566
345	345.0	523
346	346.0	528
347	347.0	512
348	348.0	472
349	349.0	464
350	350.0	464
351	351.0	497
352	352.0	516
353	353.0	460
354	354.0	447
355	355.0	502
356	356.0	462
357	357.0	449
358	358.0	472
359	359.0	468
360	360.0	415
361	361.0	443
362	362.0	421
363	363.0	466
364	364.0	442
365	365.0	404
366	366.0	429
