Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	104
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	304.79
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:11:09
End Time:	enero 01, 2002, 12:16:14
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	35600	-995	3	341

Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	0
9	9.0	0
10	10.0	0
11	11.0	0
12	12.0	0
13	13.0	0
14	14.0	0
15	15.0	0
16	16.0	0
17	17.0	0
18	18.0	0
19	19.0	0
20	20.0	0
21	21.0	0
22	22.0	0
23	23.0	0
24	24.0	0
25	25.0	0
26	26.0	0
27	27.0	0
28	28.0	0
29	29.0	0
30	30.0	0
31	31.0	0
32	32.0	0
33	33.0	0
34	34.0	0
35	35.0	0
36	36.0	0
37	37.0	0
38	38.0	0
39	39.0	0
40	40.0	1
41	41.0	0
42	42.0	0
43	43.0	0
44	44.0	0
45	45.0	0
46	46.0	0
47	47.0	0
48	48.0	0
49	49.0	0
50	50.0	0
51	51.0	0
52	52.0	0
53	53.0	1
54	54.0	0
55	55.0	0
56	56.0	0
57	57.0	0
58	58.0	1
59	59.0	1
60	60.0	0
61	61.0	0
62	62.0	0
63	63.0	1
64	64.0	1
65	65.0	0
66	66.0	1
67	67.0	2
68	68.0	0
69	69.0	0
70	70.0	1
71	71.0	2
72	72.0	3
73	73.0	0
74	74.0	2
75	75.0	0
76	76.0	1
77	77.0	0
78	78.0	0
79	79.0	2
80	80.0	1
81	81.0	1
82	82.0	1
83	83.0	0
84	84.0	1
85	85.0	0
86	86.0	1
87	87.0	2
88	88.0	0
89	89.0	2
90	90.0	1
91	91.0	0
92	92.0	1
93	93.0	1
94	94.0	0
95	95.0	1
96	96.0	0
97	97.0	0
98	98.0	0
99	99.0	1
100	100.0	0
101	101.0	0
102	102.0	0
103	103.0	1
104	104.0	0
105	105.0	0
106	106.0	1
107	107.0	1
108	108.0	0
109	109.0	0
110	110.0	1
111	111.0	0
112	112.0	2
113	113.0	2
114	114.0	0
115	115.0	0
116	116.0	1
117	117.0	1
118	118.0	1
119	119.0	0
120	120.0	0
121	121.0	0
122	122.0	1
123	123.0	1
124	124.0	0
125	125.0	0
126	126.0	1
127	127.0	0
128	128.0	0
129	129.0	1
130	130.0	1
131	131.0	0
132	132.0	2
133	133.0	1
134	134.0	0
135	135.0	0
136	136.0	1
137	137.0	39
138	138.0	246
139	139.0	623
140	140.0	658
141	141.0	679
142	142.0	677
143	143.0	696
144	144.0	687
145	145.0	699
146	146.0	696
147	147.0	728
148	148.0	726
149	149.0	700
150	150.0	804
151	151.0	735
152	152.0	772
153	153.0	724
154	154.0	792
155	155.0	758
156	156.0	822
157	157.0	834
158	158.0	811
159	159.0	858
160	160.0	763
161	161.0	810
162	162.0	873
163	163.0	874
164	164.0	817
165	165.0	893
166	166.0	882
167	167.0	895
168	168.0	792
169	169.0	871
170	170.0	838
171	171.0	855
172	172.0	883
173	173.0	900
174	174.0	826
175	175.0	902
176	176.0	893
177	177.0	939
178	178.0	878
179	179.0	921
180	180.0	856
181	181.0	875
182	182.0	938
183	183.0	871
184	184.0	877
185	185.0	922
186	186.0	905
187	187.0	877
188	188.0	877
189	189.0	921
190	190.0	843
191	191.0	908
192	192.0	922
193	193.0	931
194	194.0	872
195	195.0	928
196	196.0	948
197	197.0	966
198	198.0	884
199	199.0	867
200	200.0	916
201	201.0	882
202	202.0	918
203	203.0	915
204	204.0	921
205	205.0	901
206	206.0	865
207	207.0	883
208	208.0	904
209	209.0	906
210	210.0	841
211	211.0	958
212	212.0	898
213	213.0	857
214	214.0	843
215	215.0	889
216	216.0	903
217	217.0	837
218	218.0	896
219	219.0	880
220	220.0	951
221	221.0	899
222	222.0	881
223	223.0	874
224	224.0	864
225	225.0	888
226	226.0	879
227	227.0	871
228	228.0	880
229	229.0	835
230	230.0	881
231	231.0	875
232	232.0	871
233	233.0	839
234	234.0	888
235	235.0	801
236	236.0	872
237	237.0	868
238	238.0	884
239	239.0	827
240	240.0	873
241	241.0	870
242	242.0	844
243	243.0	845
244	244.0	881
245	245.0	867
246	246.0	826
247	247.0	830
248	248.0	870
249	249.0	892
250	250.0	813
251	251.0	854
252	252.0	881
253	253.0	855
254	254.0	849
255	255.0	844
256	256.0	822
257	257.0	789
258	258.0	812
259	259.0	794
260	260.0	850
261	261.0	861
262	262.0	806
263	263.0	830
264	264.0	787
265	265.0	837
266	266.0	819
267	267.0	775
268	268.0	751
269	269.0	805
270	270.0	821
271	271.0	777
272	272.0	831
273	273.0	856
274	274.0	729
275	275.0	724
276	276.0	807
277	277.0	814
278	278.0	786
279	279.0	760
280	280.0	799
281	281.0	779
282	282.0	803
283	283.0	789
284	284.0	815
285	285.0	784
286	286.0	780
287	287.0	752
288	288.0	805
289	289.0	764
290	290.0	753
291	291.0	807
292	292.0	753
293	293.0	785
294	294.0	809
295	295.0	762
296	296.0	731
297	297.0	753
298	298.0	731
299	299.0	721
300	300.0	746
301	301.0	732
302	302.0	724
303	303.0	713
304	304.0	674
305	305.0	701
306	306.0	738
307	307.0	758
308	308.0	722
309	309.0	674
310	310.0	737
311	311.0	718
312	312.0	710
313	313.0	723
314	314.0	724
315	315.0	706
316	316.0	744
317	317.0	696
318	318.0	647
319	319.0	675
320	320.0	695
321	321.0	680
322	322.0	684
323	323.0	691
324	324.0	685
325	325.0	642
326	326.0	668
327	327.0	620
328	328.0	672
329	329.0	670
330	330.0	657
331	331.0	647
332	332.0	687
333	333.0	692
334	334.0	635
335	335.0	647
336	336.0	626
337	337.0	668
338	338.0	590
339	339.0	620
340	340.0	617
341	341.0	632
342	342.0	635
343	343.0	640
344	344.0	601
345	345.0	617
346	346.0	665
347	347.0	621
348	348.0	615
349	349.0	613
350	350.0	568
351	351.0	598
352	352.0	567
353	353.0	622
354	354.0	585
355	355.0	610
356	356.0	625
357	357.0	594
358	358.0	584
359	359.0	584
360	360.0	560
361	361.0	602
362	362.0	535
363	363.0	561
364	364.0	588
365	365.0	566
366	366.0	589
367	367.0	606
368	368.0	530
369	369.0	536
370	370.0	527
371	371.0	563
372	372.0	593
373	373.0	560
374	374.0	567
