Channel	Average_Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	1
67	1
68	0
69	0
70	0
71	1
72	2
73	1
74	1
75	0
76	0
77	0
78	0
79	1
80	2
81	0
82	0
83	0
84	0
85	0
86	1
87	1
88	0
89	2
90	1
91	1
92	0
93	1
94	1
95	1
96	1
97	0
98	1
99	0
100	0
101	0
102	1
103	1
104	2
105	1
106	1
107	1
108	0
109	0
110	0
111	1
112	1
113	1
114	0
115	0
116	1
117	1
118	1
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	1
129	1
130	0
131	0
132	1
133	1
134	0
135	0
136	1
137	45
138	285
139	597
140	629
141	670
142	661
143	672
144	676
145	676
146	680
147	710
148	719
149	730
150	764
151	722
152	766
153	751
154	788
155	737
156	795
157	794
158	765
159	838
160	773
161	798
162	857
163	869
164	835
165	876
166	859
167	891
168	841
169	855
170	842
171	881
172	873
173	880
174	853
175	888
176	853
177	901
178	865
179	885
180	846
181	857
182	876
183	885
184	840
185	870
186	895
187	845
188	858
189	868
190	850
191	855
192	888
193	894
194	838
195	894
196	925
197	922
198	873
199	859
200	868
201	837
202	875
203	888
204	871
205	876
206	842
207	848
208	890
209	888
210	844
211	861
212	859
213	874
214	843
215	888
216	872
217	814
218	882
219	852
220	879
221	841
222	842
223	830
224	838
225	859
226	848
227	814
228	817
229	831
230	862
231	837
232	836
233	838
234	831
235	800
236	827
237	843
238	835
239	811
240	829
241	825
242	803
243	827
244	841
245	866
246	839
247	805
248	844
249	845
250	803
251	812
252	817
253	807
254	817
255	793
256	795
257	780
258	803
259	785
260	800
261	779
262	764
263	781
264	772
265	801
266	784
267	748
268	763
269	771
270	814
271	724
272	778
273	790
274	747
275	739
276	782
277	762
278	746
279	762
280	778
281	763
282	796
283	756
284	783
285	764
286	748
287	722
288	756
289	741
290	751
291	771
292	734
293	737
294	760
295	735
296	702
297	729
298	723
299	689
300	736
301	698
302	729
303	691
304	660
305	688
306	711
307	713
308	706
309	664
310	699
311	679
312	660
313	681
314	681
315	668
316	695
317	661
318	629
319	655
320	662
321	644
322	665
323	670
324	670
325	612
326	657
327	613
328	628
329	652
330	633
331	649
332	652
333	645
334	616
335	628
336	596
337	623
338	575
339	601
340	612
341	602
342	615
343	628
344	580
345	587
346	631
347	599
348	603
349	599
350	593
351	571
352	559
353	600
354	592
355	563
356	583
357	563
358	564
359	559
360	576
361	547
362	516
363	545
364	550
365	563
366	551
367	561
368	531
369	555
370	519
371	545
372	574
373	534
374	550
375	523
376	526
377	512
378	509
379	511
380	543
381	528
382	506
383	506
384	501
385	527
386	510
387	518
388	513
389	518
390	507
391	534
392	484
393	503
394	517
395	526
396	519
397	492
398	513
399	464
400	522
401	488
402	485
403	510
404	497
405	498
406	454
407	494
408	480
409	507
410	483
411	460
412	518
413	486
414	480
415	479
416	456
417	488
418	451
419	493
420	486
421	490
422	459
423	452
424	460
425	455
426	408
427	459
428	451
429	474
430	462
431	428
432	457
433	469
434	437
435	428
436	443
437	444
438	454
439	437
440	443
441	460
442	440
443	426
444	448
445	417
446	414
447	418
448	435
449	430
450	411
451	418
452	430
453	412
454	403
455	415
456	402
457	432
458	401
459	405
460	420
461	430
462	392
463	394
464	404
465	390
466	397
467	384
468	390
469	410
470	405
471	396
472	386
473	384
474	398
475	405
476	396
477	385
478	412
479	406
480	389
481	398
482	388
483	360
484	384
485	388
486	367
487	397
488	386
489	383
490	395
491	377
492	384
493	375
494	367
495	371
496	370
497	403
498	381
499	373
500	409
501	398
502	385
503	391
504	395
505	407
506	388
507	393
508	386
509	366
510	381
511	365
512	371
513	392
514	397
515	397
516	392
517	402
518	362
519	392
520	379
521	392
522	383
523	379
524	379
525	397
526	390
527	378
528	372
529	390
530	394
