Channel	Average_Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	1
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	1
82	0
83	0
84	0
85	0
86	1
87	1
88	1
89	0
90	1
91	0
92	1
93	1
94	1
95	0
96	1
97	1
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	1
116	0
117	0
118	0
119	0
120	0
121	0
122	1
123	0
124	0
125	0
126	0
127	1
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	1
137	42
138	300
139	920
140	1313
141	1402
142	1400
143	1378
144	1350
145	1429
146	1388
147	1370
148	1323
149	1330
150	1358
151	1355
152	1315
153	1335
154	1308
155	1319
156	1289
157	1363
158	1272
159	1238
160	1306
161	1280
162	1279
163	1218
164	1257
165	1301
166	1236
167	1207
168	1253
169	1261
170	1227
171	1217
172	1204
173	1219
174	1197
175	1166
176	1169
177	1199
178	1130
179	1174
180	1127
181	1163
182	1138
183	1174
184	1144
185	1139
186	1106
187	1075
188	1085
189	1111
190	1056
191	1112
192	1089
193	1094
194	1043
195	1048
196	1044
197	1012
198	1013
199	1021
200	1032
201	1029
202	993
203	991
204	1004
205	1027
206	991
207	1032
208	947
209	983
210	990
211	962
212	946
213	989
214	949
215	943
216	918
217	924
218	874
219	905
220	868
221	898
222	898
223	877
224	858
225	870
226	911
227	876
228	879
229	854
230	857
231	850
232	822
233	823
234	845
235	840
236	814
237	862
238	808
239	830
240	805
241	836
242	791
243	809
244	737
245	776
246	781
247	810
248	769
249	791
250	769
251	751
252	769
253	801
254	748
255	787
256	776
257	778
258	734
259	734
260	739
261	767
262	723
263	762
264	701
265	750
266	700
267	723
268	716
269	724
270	702
271	670
272	692
273	669
274	666
275	702
276	701
277	703
278	700
279	667
280	632
281	656
282	671
283	668
284	629
285	672
286	669
287	684
288	682
289	658
290	634
291	639
292	645
293	675
294	647
295	644
296	617
297	597
298	607
299	642
300	573
301	596
302	601
303	593
304	630
305	624
306	607
307	614
308	609
309	626
310	610
311	638
312	610
313	626
314	621
315	601
316	613
317	619
318	627
319	612
320	592
321	621
322	641
323	614
324	590
325	634
326	637
327	618
328	640
329	624
330	598
331	595
332	589
333	595
334	570
335	568
336	555
337	577
338	565
339	562
340	574
341	532
342	539
343	539
344	519
345	532
346	512
347	506
348	485
349	521
350	490
351	484
352	436
353	476
354	446
355	444
356	455
357	463
358	424
359	449
360	443
361	414
362	401
363	425
364	434
365	423
366	421
367	426
368	390
369	428
370	394
371	413
372	379
373	422
374	380
375	414
376	404
377	366
378	385
379	377
380	389
381	399
382	384
383	388
384	399
385	390
386	375
387	365
388	343
389	387
390	364
391	368
392	371
393	347
394	345
395	389
396	357
397	365
398	383
399	379
400	351
401	354
402	355
403	339
404	369
405	360
406	370
407	342
408	380
409	348
410	340
411	353
412	336
413	341
414	336
415	340
416	330
417	342
418	330
419	319
420	315
421	350
422	329
423	338
424	309
425	353
426	318
427	304
428	324
429	315
430	316
431	295
432	275
433	290
434	295
435	284
436	318
437	308
438	297
439	301
440	300
441	292
442	296
443	276
444	302
445	305
446	280
447	296
448	299
449	286
450	292
451	276
452	268
453	276
454	290
455	272
456	296
457	295
458	308
459	271
460	280
461	298
462	274
463	280
464	305
465	280
466	287
467	269
468	293
469	254
470	280
471	318
472	300
473	281
474	283
475	294
476	290
477	287
478	274
479	288
480	293
481	273
482	278
483	290
484	266
485	277
486	281
487	306
488	298
489	262
490	258
491	284
492	254
493	275
494	251
495	284
496	267
497	276
498	267
499	258
500	272
501	254
502	237
503	259
504	262
505	251
506	258
507	240
508	244
509	238
510	236
511	236
512	246
513	239
514	222
